is_wr,targets,yards,avgCushion,avgIntendedAirYards,avgSeparation,avgYAC,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir,season
0,44,334,5.151764706,7.737954545,3.257800895,5.650606061,7.735282357,0.1875,18211.13552,573,0.041282054,0.532989097,23,77,260,4.64,0,0,2018
0,43,305,5.118461538,7.866976744,3.448165033,6.751666667,7.706151162,0.3125,11937.85766,800,0.056278113,0.508833742,28,77,210,4.87,2,1,2018
1,47,306,5.081702128,11.90531915,2.545867816,4.460833333,15.66322732,0.4375,18489.7859,411,-0.003635571,0.464858531,25,75,212,4.45,0,0,2018
1,168,1297,5.04,11.21779762,2.627776923,5.032788462,36.07485294,0.125,12606.14049,998,0.04255799,0.492845932,30,70,181,4.56,0,0,2018
0,64,439,5.025208333,7.45203125,2.754435361,4.881162791,10.79510731,0.625,8279.790101,839,0.033791225,0.516237745,25,78,265,4.64,0,0,2018
1,79,549,5.009210526,12.66177215,2.265934191,1.797954545,24.2290066,0.1875,6950.342707,622,0.06615784,0.493668301,24,76,225,4.7,1,1,2018
1,79,586,4.982077922,13.74620253,2.553133868,5.78255814,20.54179104,0.1875,13363.3961,765,0.05368471,0.498953227,21,71,193,4.41,0,0,2018
1,66,664,4.93,15.18424242,2.051655988,2.983255814,24.84554587,0.125,29416.74184,738,0.024343356,0.485303673,23,76,218,5.3,3,0,2018
1,163,1572,4.921987578,11.86147239,2.522421038,3.683217391,44.04406639,0.6875,17678.83402,1155,0.016572893,0.477167183,26,73,215,4.57,0,0,2018
1,119,1063,4.882695652,12.59747899,2.264946798,5.352714286,37.50872601,0.6875,14427.63533,904,0.007231946,0.489057931,24,76,213,4.5,0,0,2018
1,169,1386,4.830617284,11.32621302,2.969168797,4.647387387,33.96870974,0.3125,12895.67296,953,-0.00611556,0.478207237,25,73,215,4.56,0,0,2018
1,53,445,4.736415094,16.37698113,1.998767692,3.748461538,22.4669136,0.5625,24565.10818,632,0.03545595,0.478764493,23,72,219,4.86,0,0,2018
1,71,737,4.721267606,13.99746479,2.107671167,7.077317073,22.90045026,0.6875,18869.44337,633,0.004994475,0.512246981,27,75,225,4.52,0,1,2018
1,147,1405,4.635034483,7.714353741,2.748359542,4.08832,30.27239577,0.75,15119.37179,1060,0.045319427,0.516416462,28,70,195,4.57,2,0,2018
1,84,704,4.624819277,14.365,2.163073669,4.407857143,27.59410824,0.125,15500.69311,819,0.031874347,0.504024499,22,75,216,4.54,0,0,2018
0,48,565,4.544857143,11.149375,2.500796986,6.884705882,8.1083538,0.3125,11937.85766,435,0.056278113,0.508833742,23,78,251,4.51,1,0,2018
0,45,333,4.449473684,8.789333333,2.464236806,4.533214286,9.805729926,0.125,29416.74184,441,0.024343356,0.485303673,38,76,255,4.87,1,0,2018
1,77,694,4.395657895,12.71272727,2.028803888,4.258913043,22.15653166,0.625,8279.790101,458,0.033791225,0.516237745,30,76,210,4.48,1,1,2018
1,62,508,3.965645161,15.24306452,2.216704545,3.104571429,23.64643566,0.6875,14427.63533,538,0.007231946,0.489057931,28,74,198,4.46,1,1,2018
1,93,866,7.396222222,13.46569892,2.874055456,2.346825397,23.32239513,0.6875,13627.09298,712,0.018785335,0.531477092,24,73,190,4.43,0,0,2019
1,139,1134,7.317022901,8.099280576,3.407958006,6.718333333,23.69132672,0.1875,22213.65715,986,0.010838929,0.5195635,27,72,193,4.51,1,0,2019
1,69,601,7.209402985,12.26333333,2.712406234,4.902325581,22.32444141,0.125,14043.33279,859,0.044406664,0.529395923,24,75,209,,0,0,2019
1,56,421,6.957142857,16.13928571,2.761898276,1.53,24.79513425,0.625,14265.76105,639,0.035927385,0.489400585,34,71,180,4.38,1,0,2019
1,62,351,6.890192308,5.171129032,3.464217051,4.309302326,6.022564187,0.3125,17539.3791,439,-0.017665174,0.468979779,27,69,195,4.43,1,0,2019
0,59,349,6.765909091,5.798644068,3.476792173,4.39195122,7.300553538,0.5625,35553.16235,607,0.005700142,0.530688616,25,76,245,4.64,1,0,2019
1,56,310,6.73245283,7.349464286,3.158416889,5.033823529,11.60296692,0.25,9378.526001,310,0.01133364,0.486331484,22,70,176,4.56,0,1,2019
1,121,1333,6.635321101,10.35330579,2.812145577,7.075348837,19.6211255,0.25,15718.19533,937,0.061617047,0.487538162,23,73,209,4.42,0,1,2019
1,78,529,6.579333333,8.800128205,2.714040287,5.609534884,14.40645595,0.125,15572.18963,615,-0.030991523,0.536551051,26,72,195,4.54,0,0,2019
1,47,198,6.552051282,7.102553191,2.592480295,2.537692308,9.411041665,0.25,9378.526001,425,0.01133364,0.486331484,23,72,200,4.55,1,0,2019
