is_wr,recTouchdowns,receptions,targets,yards,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir
1,8,86,138,1524,5.69380597,3.030809243,15.67927536,2.098511042,3.76244186,0.731632617,62.31884058,32.78279696,0.3125,11937.85766,939,0.056278113,0.508833742,25,77,231,4.53,0,1
1,5,42,97,717,5.683152174,3.488204071,16.34103093,2.343665674,4.095238095,0.607034025,43.29896907,34.22183264,0.125,11479.66212,797,0.05201982,0.496732026,28,71,179,4.34,0,0
1,2,53,72,485,5.678955224,4.978758879,6.389027778,3.644751079,5.096037736,0.117278856,73.61111111,9.330396351,0.6875,14502.58425,684,0.029891133,0.48635597,24,72,184,,0,1
1,5,80,117,1204,5.678157895,4.522409684,12.91367521,2.7132489,4.48525,-0.037159684,68.37606838,30.7449062,0.1875,19567.80407,1195,0.03319067,0.501887459,24,70,189,4.33,1,0
0,2,31,48,281,5.671282051,4.309548776,5.704375,3.295796064,4.982258065,0.672709289,64.58333333,6.261534134,0.125,15500.69311,555,0.031874347,0.504024499,25,77,255,4.81,1,0
1,1,35,52,334,5.660980392,2.98069358,9.526346154,2.635366822,2.694285714,-0.286407866,67.30769231,10.04760427,0.6875,14502.58425,560,0.029891133,0.48635597,27,72,204,4.43,1,0
1,4,81,149,976,5.659411765,3.556666846,10.80536913,3.273078564,3.811481481,0.254814635,54.36241611,30.45470194,0.1875,13363.3961,957,0.05368471,0.498953227,25,71,208,4.65,0,0
0,6,30,49,289,5.647837838,2.656718139,8.701428571,2.868555935,2.106333333,-0.550384806,61.2244898,6.459926397,0.3125,11937.85766,534,0.056278113,0.508833742,27,77,235,4.77,1,0
1,7,76,108,1028,5.641276596,5.043010259,9.378518519,2.915722646,5.794736842,0.751726583,70.37037037,22.92610717,0.625,8279.790101,773,0.033791225,0.516237745,23,74,203,4.58,0,0
0,10,103,150,1336,5.618666667,4.644536825,8.9066,2.894876457,5.825242718,1.180705894,68.66666667,25.31156573,0.125,17312.03603,1128,0.025024401,0.492788002,28,77,260,4.63,1,0
1,2,44,78,532,5.586025641,3.082798645,14.30538462,2.422757692,3.295454545,0.2126559,56.41025641,26.82498203,0.1875,13070.916,846,0.06458592,0.476205065,25,74,206,4.5,1,1
0,6,68,101,896,5.582361111,4.720179597,8.019009901,2.965243913,5.733970588,1.013790991,67.32673267,22.04319805,0.0625,"20,931.44",767,0.03214709,0.529121517,31,77,254,4.49,1,0
1,5,28,44,427,5.581395349,3.415494182,12.14931818,2.210701572,4.213214286,0.797720104,63.63636364,14.27034559,0.8125,11869.09747,631,0.059760243,0.493855827,22,73,210,4.49,0,0
0,4,71,88,660,5.577121212,3.291802498,6.687727273,3.239225479,3.514225352,0.222422854,80.68181818,11.26358378,0.5625,8246.980691,809,0.07570966,0.468622345,23,75,248,4.72,0,0
1,1,24,46,286,5.575,5.187600437,8.812391304,2.782508377,4.69,-0.497600437,52.17391304,10.3545958,0.125,18381.19579,380,0.02577737,0.486296547,32,72,211,4.42,1,0
1,5,41,65,653,5.564677419,5.339300242,12.50184615,2.760509326,5.143658537,-0.195641705,63.07692308,20.14647111,0.125,29416.74184,862,0.024343356,0.485303673,26,76,205,4.43,0,0
0,4,56,88,639,5.555806452,4.247654392,8.52875,3.061406314,6.039107143,1.79145275,63.63636364,14.19699841,0.1875,13363.3961,871,0.05368471,0.498953227,22,76,246,4.64,0,1
1,4,55,94,754,5.543,3.325614554,11.87542553,1.957279772,4.5,1.174385446,58.5106383,25.01585495,0.25,12825.42167,825,0.037970804,0.42912392,25,75,210,4.6,2,0
0,4,50,72,610,5.521521739,5.42188586,5.6975,3.27689435,7.9492,2.52731414,69.44444444,7.852438023,0.125,12606.14049,564,0.04255799,0.492845932,28,76,267,4.69,2,0
1,3,40,55,519,5.503962264,5.841065497,8.406181818,3.453011174,6.22025,0.379184503,72.72727273,8.759458753,0.125,17312.03603,587,0.025024401,0.492788002,25,73,211,4.43,1,0
1,1,25,67,380,5.470746269,1.950450212,15.94641791,1.734577675,2.7692,0.818749788,37.31343284,21.40922007,0.125,17312.03603,537,0.025024401,0.492788002,27,77,245,4.61,1,0
1,6,65,92,840,5.451333333,3.536922829,10.8423913,2.49139253,4.669846154,1.132923325,70.65217391,22.66262564,0.1875,18211.13552,881,0.041282054,0.532989097,28,75,218,4.48,1,1
1,4,32,45,503,5.448837209,4.8247755,14.56288889,3.334989638,5.4665625,0.641787,71.11111111,14.92867459,0.6875,17678.83402,375,0.016572893,0.477167183,24,72,180,4.32,0,0
1,1,17,46,171,5.408478261,1.779090332,13.22869565,1.895190928,0.917058824,-0.862031509,36.95652174,15.34295483,0.1875,15696.0081,430,0.03152491,0.509734047,23,73,204,4.58,0,0
0,5,88,136,1377,5.405480769,7.327922412,7.334117647,3.313864093,10.19443182,2.866509407,64.70588235,25.47817558,0.125,18381.19579,929,0.02577737,0.486296547,24,76,247,4.52,0,0
1,1,62,95,651,5.395411765,4.55610006,8.311157895,3.138896414,4.833225806,0.277125746,65.26315789,17.04657821,0.125,11479.66212,872,0.05201982,0.496732026,25,71,195,4.62,0,0
1,7,21,58,210,5.385454545,3.07090382,13.98758621,2.218845365,3.073333333,0.002429514,36.20689655,18.36297708,0.625,8279.790101,602,0.033791225,0.516237745,22,71,188,4.22,1,1
1,2,38,61,383,5.379655172,5.993805307,8.166065574,2.92392837,6.526052632,0.532247325,62.29508197,8.83996039,0.3125,12895.67296,466,-0.00611556,0.478207237,28,70,192,4.46,1,0
1,5,27,45,467,5.361395349,5.359851903,11.83733333,3.37600308,7.574444444,2.214592542,60,13.60654733,0.125,18381.19579,452,0.02577737,0.486296547,22,73,195,,0,0
1,2,30,46,243,5.328604651,2.95369856,8.390217391,3.053193703,2.350666667,-0.603031893,65.2173913,8.825970925,0.125,15500.69311,471,0.031874347,0.504024499,23,73,206,4.52,0,0
1,2,33,68,507,5.320147059,5.002153179,13.99632353,2.682152741,5.464242424,0.462089245,48.52941176,23.87402641,0.8125,18985.53715,844,0.05710488,0.502805728,22,73,200,4.51,0,0
1,7,111,166,1383,5.316601307,4.76091574,8.685783133,3.001245817,6.072522523,1.311606782,66.86746988,27.59972512,0.125,12606.14049,960,0.04255799,0.492845932,21,73,215,4.54,0,0
1,3,54,100,607,5.299285714,3.274264969,10.8181,2.831817901,2.70037037,-0.573894599,54,23.35624749,0.125,11479.66212,856,0.05201982,0.496732026,30,73,214,4.54,0,0
0,1,34,69,343,5.295882353,2.689574634,9.845072464,2.730787668,2.972941176,0.283366542,49.27536232,17.12782266,0.1875,15696.0081,536,0.03152491,0.509734047,23,77,243,4.69,0,0
1,6,97,136,1196,5.280672269,4.454373969,8.824852941,2.667732707,4.377113402,-0.077260567,71.32352941,29.75485675,0.125,29416.74184,925,0.024343356,0.485303673,26,74,211,4.58,2,0
0,3,34,50,552,5.244545455,5.41994272,10.4622,2.904620379,6.482058824,1.062116104,68,11.2939302,0.125,11479.66212,442,0.05201982,0.496732026,22,76,255,4.67,0,0
1,7,33,54,423,5.188510638,4.698406791,11.33148148,2.97224551,5.383636364,0.685229572,61.11111111,13.7125672,0.25,12825.42167,615,0.037970804,0.42912392,23,71,190,4.5,0,0
0,2,35,46,400,5.1703125,3.223001517,9.904565217,2.64262798,3.034,-0.189001517,76.08695652,12.16250848,0.8125,11869.09747,533,0.059760243,0.493855827,37,75,251,,2,0
1,5,50,73,618,5.156515152,3.197621466,12.12863014,2.823577008,3.6118,0.414178534,68.49315068,22.91755643,0.5625,24565.10818,763,0.03545595,0.478764493,29,70,192,4.48,0,0
0,4,33,44,334,5.151764706,5.043176079,7.737954545,3.257800895,5.650606061,0.607429981,75,7.735282357,0.1875,18211.13552,573,0.041282054,0.532989097,23,77,260,4.64,0,0
0,0,24,43,305,5.118461538,5.693538919,7.866976744,3.448165033,6.751666667,1.058127748,55.81395349,7.706151162,0.3125,11937.85766,800,0.056278113,0.508833742,28,77,210,4.87,2,1
1,1,24,47,306,5.081702128,4.585625234,11.90531915,2.545867816,4.460833333,-0.124791901,51.06382979,15.66322732,0.4375,18489.7859,411,-0.003635571,0.464858531,25,75,212,4.45,0,0
1,15,104,168,1297,5.04,4.051946758,11.21779762,2.627776923,5.032788462,0.980841703,61.9047619,36.07485294,0.125,12606.14049,998,0.04255799,0.492845932,30,70,181,4.56,0,0
0,3,43,64,439,5.025208333,4.472854716,7.45203125,2.754435361,4.881162791,0.408308074,67.1875,10.79510731,0.625,8279.790101,839,0.033791225,0.516237745,25,78,265,4.64,0,0
1,4,44,79,549,5.009210526,2.216546655,12.66177215,2.265934191,1.797954545,-0.41859211,55.69620253,24.2290066,0.1875,6950.342707,622,0.06615784,0.493668301,24,76,225,4.7,1,1
1,5,43,79,586,4.982077922,4.575319456,13.74620253,2.553133868,5.78255814,1.207238684,54.43037975,20.54179104,0.1875,13363.3961,765,0.05368471,0.498953227,21,71,193,4.41,0,0
1,10,43,66,664,4.93,2.171537504,15.18424242,2.051655988,2.983255814,0.81171831,65.15151515,24.84554587,0.125,29416.74184,738,0.024343356,0.485303673,23,76,218,5.3,3,0
1,11,115,163,1572,4.921987578,3.644685142,11.86147239,2.522421038,3.683217391,0.038532249,70.55214724,44.04406639,0.6875,17678.83402,1155,0.016572893,0.477167183,26,73,215,4.57,0,0
1,5,70,119,1063,4.882695652,3.968443694,12.59747899,2.264946798,5.352714286,1.384270591,58.82352941,37.50872601,0.6875,14427.63533,904,0.007231946,0.489057931,24,76,213,4.5,0,0
1,13,111,169,1386,4.830617284,4.178552783,11.32621302,2.969168797,4.647387387,0.468834605,65.68047337,33.96870974,0.3125,12895.67296,953,-0.00611556,0.478207237,25,73,215,4.56,0,0
1,5,26,53,445,4.736415094,3.220846186,16.37698113,1.998767692,3.748461538,0.527615352,49.05660377,22.4669136,0.5625,24565.10818,632,0.03545595,0.478764493,23,72,219,4.86,0,0
