,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player_x,playerName,position,teamId,season,player_clean,team_abbr,total_round_trip_miles,birth_date,turf_percentage,player_y,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty
446,6.26195122,3.661718839,13.17865854,2.631560672,3.694545455,0.032826616,53.65853659,21.13484526,5,44,82,537,"{'season': 2021, 'currentTeamId': '2510', 'displayName': 'Odell Beckham', 'esbId': 'BEC573252', 'firstName': 'Odell', 'footballName': 'Odell', 'gsisId': '00-0031235', 'gsisItId': 41238, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/dw6kneiq5flxfw0m6rf3', 'jerseyNumber': 3, 'lastName': 'Beckham', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'O.Beckham', 'smartId': '32004245-4357-3252-264b-1da3e93d2745', 'status': 'ACT', 'uniformNumber': '3', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",odell beckham,WR,2510,2021,odell beckham,LA,33867.19293,1992-11-05,0.764705882,,862,0.040338974,0.504073442242394,28,71.0,198.0,
451,6.119591837,3.763652825,10.40113208,3.586631688,4.098198198,0.334545373,69.81132075,35.50461256,9,111,159,1239,"{'season': 2021, 'seasonType': 'PRO', 'week': 22, 'jerseyNumber': 10, 'lastName': 'Hill', 'footballName': 'Tyreek', 'firstName': 'Tyreek', 'position': 'WR', 'gsisItId': 43454, 'gsisId': '00-0033040', 'esbId': 'HIL628694', 'displayName': 'Tyreek Hill', 'shortName': 'T.Hill', 'uniformNumber': '10', 'status': 'ACT', 'currentTeamId': '8600', 'smartId': '32004849-4c62-8694-8490-45499711dee4', 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/xw0jhb7zeobj4bkxfpwg', 'positionGroup': 'WR', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",tyreek hill,WR,8600,2021,tyreek hill,KC,14022.59117,1994-03-01,0.117647059,Tyreek Hill,1045,0.019397646,0.5319254017396432,27,70.0,185.0,
454,6.097920792,2.670238346,14.81115385,2.320067131,2.9459375,0.275699154,61.53846154,37.99230466,5,64,104,916,"{'season': 2021, 'currentTeamId': '3700', 'displayName': 'DeVonta Smith', 'esbId': 'SMI206016', 'firstName': 'DeVonta', 'footballName': 'DeVonta', 'gsisId': '00-0036912', 'gsisItId': 53439, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/hol7dluumxi1cqxyagg3', 'jerseyNumber': 6, 'lastName': 'Smith', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Smith', 'smartId': '3200534d-4920-6016-573c-fcc767bafc4d', 'status': 'ACT', 'uniformNumber': '6', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",devonta smith,WR,3700,2021,devonta smith,PHI,15658.64761,1998-11-14,0.294117647,DeVonta Smith,982,0.03302644,0.4747181133662042,22,72.0,165.0,
455,6.08137931,4.631354446,13.62966292,2.543856326,4.6786,0.047245554,56.17977528,23.72406671,6,50,89,802,"{'season': 2021, 'currentTeamId': '2510', 'displayName': 'Van Jefferson', 'esbId': 'JEF436716', 'firstName': 'Vanchii', 'footballName': 'Van', 'gsisId': '00-0036415', 'gsisItId': 52465, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/mpf79etf7jsptmu1ywv8', 'jerseyNumber': 12, 'lastName': 'Jefferson', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'V.Jefferson', 'smartId': '32004a45-4643-6716-6cf6-1dcc41075f1f', 'status': 'ACT', 'uniformNumber': '12', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",van jefferson,WR,2510,2021,van jefferson,LA,33867.19293,1996-07-26,0.764705882,Van Jefferson,1114,0.040338974,0.504073442242394,25,73.0,197.0,
456,6.081358025,3.713366968,9.420744681,3.101704612,4.130606061,0.417239093,70.21276596,21.89500387,4,66,94,771,"{'season': 2021, 'currentTeamId': '0200', 'displayName': 'Russell Gage', 'esbId': 'GAG130654', 'firstName': 'Russell', 'footballName': 'Russell', 'gsisId': '00-0034411', 'gsisItId': 46263, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/yvgvukodrs3aabp4qty7', 'jerseyNumber': 14, 'lastName': 'Gage', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Gage', 'smartId': '32004741-4713-0654-eda3-03cdf234354d', 'status': 'ACT', 'uniformNumber': '14', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",russell gage,WR,200,2021,russell gage,ATL,12470.02879,1996-01-22,0.647058824,Russell Gage,612,0.0010261456,0.4611323579999595,25,72.0,184.0,
458,6.061868132,3.635868096,9.747263158,3.124015546,3.777761194,0.141893098,70.52631579,20.35975146,10,67,95,726,"{'season': 2021, 'currentTeamId': '3000', 'displayName': 'Adam Thielen', 'esbId': 'THI510348', 'firstName': 'Adam', 'footballName': 'Adam', 'gsisId': '00-0030035', 'gsisItId': 40488, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/yaqb24k1lrtbl4a0hxtl', 'jerseyNumber': 19, 'lastName': 'Thielen', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'A.Thielen', 'smartId': '32005448-4951-0348-440c-28f32f21652b', 'status': 'RES', 'uniformNumber': '19', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",adam thielen,WR,3000,2021,adam thielen,MIN,16035.60781,1990-08-22,0.647058824,Adam Thielen,758,0.01855726,0.4963805129895095,31,74.0,200.0,
463,6.045,5.392866699,8.247763158,3.574250972,7.048392857,1.655526158,73.68421053,15.46048737,4,56,76,830,"{'season': 2021, 'currentTeamId': '3700', 'displayName': 'Dallas Goedert', 'esbId': 'GOE595520', 'firstName': 'Dallas', 'footballName': 'Dallas', 'gsisId': '00-0034351', 'gsisItId': 46118, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/toiqpnmbuxgfwr8wkw4r', 'jerseyNumber': 88, 'lastName': 'Goedert', 'position': 'TE', 'positionGroup': 'TE', 'shortName': 'D.Goedert', 'smartId': '3200474f-4559-5520-b7af-5e002aedafbb', 'status': 'ACT', 'uniformNumber': '88', 'ngsPosition': 'TE', 'ngsPositionGroup': 'TE'}",dallas goedert,TE,3700,2021,dallas goedert,PHI,15658.64761,1995-01-03,0.294117647,Dallas Goedert,840,0.03302644,0.4747181133662042,26,77.0,256.0,
464,6.038227848,3.089151838,11.99023529,2.757911754,4.145849057,1.056697219,62.35294118,23.24197727,5,53,85,734,"{'season': 2021, 'currentTeamId': '1400', 'displayName': 'Tim Patrick', 'esbId': 'PAT283375', 'firstName': 'Tim', 'footballName': 'Tim', 'gsisId': '00-0033375', 'gsisItId': 45267, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/hun9pdqwtwz76tiac5d3', 'jerseyNumber': 81, 'lastName': 'Patrick', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Patrick', 'smartId': '32005041-5428-3375-95f4-ff207c5ba0aa', 'status': 'ACT', 'uniformNumber': '81', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",tim patrick,WR,1400,2021,tim patrick,DEN,16599.1994,1993-11-23,0.176470588,Tim Patrick,849,0.07066842,0.4724776184983797,27,76.0,212.0,
466,6.000733945,2.919757888,12.09681818,2.268951119,4.008243243,1.088485356,67.27272727,30.46994681,6,74,110,1091,"{'season': 2021, 'currentTeamId': '0920', 'displayName': 'Tee Higgins', 'esbId': 'HIG387791', 'firstName': 'Tamaurice', 'footballName': 'Tee', 'gsisId': '00-0036410', 'gsisItId': 52441, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/bhghlnepvrsmsztx0wzh', 'jerseyNumber': 85, 'lastName': 'Higgins', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Higgins', 'smartId': '32004849-4738-7791-9f89-d556c4b59b9a', 'status': 'ACT', 'uniformNumber': '85', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",tee higgins,WR,920,2021,tee higgins,CIN,11007.81672,1999-01-18,0.647058824,Tee Higgins,943,0.058091793,0.4998666133119914,22,76.0,210.0,
475,5.903076923,3.42456445,8.002727273,2.920683238,4.076388889,0.651824439,65.45454545,7.699681797,0,36,55,360,"{'season': 2021, 'currentTeamId': '4900', 'displayName': 'Tyler Johnson', 'esbId': 'JOH711094', 'firstName': 'Tyler', 'footballName': 'Tyler', 'gsisId': '00-0036427', 'gsisItId': 52569, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/d6e5mwllmmwixl01o93g', 'jerseyNumber': 18, 'lastName': 'Johnson', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Johnson', 'smartId': '32004a4f-4871-1094-58d9-ca4ef7922f8c', 'status': 'ACT', 'uniformNumber': '18', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",tyler johnson,WR,4900,2021,tyler johnson,TB,16621.62915,1998-08-25,0.352941176,Tyler Johnson,708,0.008555921,0.4811745566185846,23,73.0,205.0,
