Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2018,Buccaneers,,charles sims iii,placed on ir with knee injury,,,,8/23/2018,,charles sims iii,charles sims iii
2018,Chargers,,james onwualu,placed on ir with groin injury,,,,8/23/2018,,james onwualu,james onwualu
2018,Colts,,josh ferguson,placed on ir with groin injury,,,,8/23/2018,,josh ferguson,josh ferguson
2018,Colts,,matt hazel a,placed on ir with undisclosed injury,,,,8/24/2018,,matt hazel a,matt hazel a
2018,Raiders,,obi melifonwu,placed on ir with hip injury,,,,8/24/2018,,obi melifonwu,obi melifonwu
2018,Buccaneers,,sergio bailey,placed on ir with ankle injury,,,,8/25/2018,,sergio bailey,sergio bailey
2018,Colts,,brad kaaya,placed on ir with undisclosed injury,,,,8/25/2018,,brad kaaya,brad kaaya
2018,Buccaneers,,jake lampman,placed on ir with undisclosed injury,,,,8/26/2018,,jake lampman,jake lampman
2018,Titans,,michael campanaro,placed on ir with undisclosed injury,,,,8/26/2018,,michael campanaro,michael campanaro
2018,Jaguars,,marqise lee,placed on ir with left knee injury,,,,8/27/2018,,marqise lee,marqise lee
2018,Jets,,lucky whitehead,placed on ir with foot injury,,,,8/27/2018,,lucky whitehead,lucky whitehead
2018,Raiders,,griff whalen,placed on ir with turf toe,,,,8/27/2018,,griff whalen,griff whalen
2018,Ravens,,jaleel scott,placed on ir with hamstring injury,,,,8/27/2018,,jaleel scott,jaleel scott
2018,Cardinals,,dj foster,placed on ir with knee injury,,,,8/28/2018,,dj foster,dj foster
2018,Chargers,,zachary crabtree,placed on ir with undisclosed injury,,,,8/29/2018,,zachary crabtree,zachary crabtree
2018,Cowboys,,dustin stanton,placed on ir with knee injury,,,,8/29/2018,,dustin stanton,dustin stanton
2018,Cowboys,,korren kirven,placed on ir with calf injury,,,,8/29/2018,,korren kirven,korren kirven
2018,Lions,,toby johnson,placed on ir with undisclosed injury,,,,8/30/2018,,toby johnson,toby johnson
2018,Texans,,ben heeney,placed on ir with ankle injury,,,,8/30/2018,,ben heeney,ben heeney
2018,Lions,,marcus cromartie,placed on ir with hip injury,,,,8/31/2018,,marcus cromartie,marcus cromartie
2018,Rams,,morgan fox,placed on ir with torn acl in knee,,,,8/31/2018,,morgan fox,morgan fox
2018,Rams,,ryan davis,placed on ir with undisclosed injury,,,,8/31/2018,,ryan davis,ryan davis
2018,Ravens,,bennett jackson,placed on ir with undisclosed injury,,,,8/31/2018,,bennett jackson,bennett jackson
2018,Ravens,,deshon elliott,placed on ir with forearm injury,,,,8/31/2018,,deshon elliott,deshon elliott
2018,Ravens,,greg senat,placed on ir with foot injury,,,,8/31/2018,,greg senat,greg senat
2018,Ravens,,stanley jean-baptiste,placed on ir with fractured arm,,,,8/31/2018,,stanley jean-baptiste,stanley jean-baptiste
2018,Saints,,shane vereen,placed on ir with finger injury,,,,8/31/2018,,shane vereen,shane vereen
2018,Bears,,marlon brown d,placed on ir with concussion,,,,9/1/2018,,marlon brown d,marlon brown d
2018,Bengals,,cethan carter,placed on ir with shoulder injury,,,,9/1/2018,,cethan carter,cethan carter
2018,Bengals,,matt barkley,placed on ir with knee injury,,,,9/1/2018,,matt barkley,matt barkley
2018,Bengals,,trayvon henderson,placed on ir with knee injury,,,,9/1/2018,,trayvon henderson,trayvon henderson
2018,Broncos,,jerrol garcia-williams,placed on ir with knee injury,,,,9/1/2018,,jerrol garcia-williams,jerrol garcia-williams
2018,Broncos,,troy fumagalli,placed on ir with sports hernia,,,,9/1/2018,,troy fumagalli,troy fumagalli
2018,Buccaneers,,devante bond,placed on ir with foot injury,,,,9/1/2018,,devante bond,devante bond
2018,Buccaneers,,riley bullough,placed on ir with foot injury,,,,9/1/2018,,riley bullough,riley bullough
2018,Cardinals,,arthur moats,placed on ir with knee injury,,,,9/1/2018,,arthur moats,arthur moats
2018,Chargers,,artavis scott,placed on ir with ankle injury,,,,9/1/2018,,artavis scott,artavis scott
2018,Chiefs,,byron pringle,placed on ir with hamstring injury,,,,9/1/2018,,byron pringle,byron pringle
2018,Colts,,anthony johnson b 1993-01-24,placed on ir with back injury,,,,9/1/2018,,anthony johnson b --,anthony johnson
2018,Colts,,chris mccain,placed on ir with ankle injury,,,,9/1/2018,,chris mccain,chris mccain
2018,Colts,,jeremiah george,placed on ir with back injury,,,,9/1/2018,,jeremiah george,jeremiah george
2018,Colts,,ross travis,placed on ir with knee injury,,,,9/1/2018,,ross travis,ross travis
2018,Giants,,nick becton,placed on ir with ankle injury,,,,9/1/2018,,nick becton,nick becton
2018,Giants,,nick gates,placed on ir with foot injury,,,,9/1/2018,,nick gates,nick gates
2018,Jaguars,,kenneth acker,placed on ir with ankle injury,,,,9/1/2018,,kenneth acker,kenneth acker
2018,Lions,,zach zenner,placed on ir with back injury,,,,9/1/2018,,zach zenner,zach zenner
2018,Panthers,,elijah hood,placed on ir with knee injury,,,,9/1/2018,,elijah hood,elijah hood
2018,Panthers,,jeremiah sirles,placed on ir with hamstring injury,,,,9/1/2018,,jeremiah sirles,jeremiah sirles
2018,Panthers,,kevon seymour,placed on ir with shoulder injury,,,,9/1/2018,,kevon seymour,kevon seymour
2018,Patriots,,braxton berrios,placed on ir with undisclosed injury,,,,9/1/2018,,braxton berrios,braxton berrios
2018,Patriots,,christian sam,placed on ir with ankle injury,,,,9/1/2018,,christian sam,christian sam
2018,Patriots,,isaiah wynn,placed on ir with achilles injury,,,,9/1/2018,,isaiah wynn,isaiah wynn
2018,Patriots,,ulrick john,placed on ir with foot injury,,,,9/1/2018,,ulrick john,ulrick john
2018,Raiders,,chris warren iii,placed on ir with knee injury,,,,9/1/2018,,chris warren iii,chris warren iii
2018,Raiders,,eddy pineiro,placed on ir with groin injury,,,,9/1/2018,,eddy pineiro,eddy pineiro
2018,Redskins,,tyler catalina,placed on ir with shoulder injury,,,,9/1/2018,,tyler catalina,tyler catalina
2018,Saints,,michael hoomanawanui,placed on ir with neck injury,,,,9/1/2018,,michael hoomanawanui,michael hoomanawanui
2018,Seahawks,,austin davis b 1989-06-02,placed on ir with undisclosed injury,,,,9/1/2018,,austin davis b --,austin davis
2018,Seahawks,,byron maxwell,placed on ir with hip injury,,,,9/1/2018,,byron maxwell,byron maxwell
2018,Seahawks,,erik walden,placed on ir with hip flexor injury,,,,9/1/2018,,erik walden,erik walden
2018,Seahawks,,jamarco jones,placed on ir with ankle injury,,,,9/1/2018,,jamarco jones,jamarco jones
2018,Titans,,austin barnard,placed on ir with knee injury,,,,9/1/2018,,austin barnard,austin barnard
2018,Titans,,devin ross b 1995-08-12,placed on ir with ankle injury,,,,9/1/2018,,devin ross b --,devin ross
2018,Vikings,,tavarres king,placed on ir with leg injury,,,,9/1/2018,,tavarres king,tavarres king
