Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2024,Browns,,brian allen b 1995-10-11,placed on ir with calf injury,,,,7/29/2024,,brian allen b --,brian allen
2024,Ravens,,malik hamm,placed on ir with knee injury,,,,7/30/2024,,malik hamm,malik hamm
2024,Raiders,,darien butler,placed on ir,,,,7/31/2024,,darien butler,darien butler
2024,Broncos,,quinn bailey,placed on ir with leg injury,,,,8/1/2024,,quinn bailey,quinn bailey
2024,Browns,,charlie thomas iii,placed on ir with knee injury,,,,8/1/2024,,charlie thomas iii,charlie thomas iii
2024,Lions,,netane muti,placed on ir with upper body injury,,,,8/1/2024,,netane muti,netane muti
2024,Panthers,,daewood davis,placed on ir,,,,8/1/2024,,daewood davis,daewood davis
2024,Panthers,,stephen sullivan,placed on ir with quadriceps injury,,,,8/1/2024,,stephen sullivan,stephen sullivan
2024,Buccaneers,,iosua opeta  sua opeta,placed on ir with torn acl in knee,,,,8/2/2024,,iosua opeta sua opeta,iosua opeta sua
2024,Saints,,tommy hudson,placed on ir,,,,8/2/2024,,tommy hudson,tommy hudson
2024,Steelers,,david perales,placed on ir,,,,8/2/2024,,david perales,david perales
2024,Cowboys,,corey crooms,placed on ir,,,,8/3/2024,,corey crooms,corey crooms
2024,Jets,,marcus riley b,placed on ir,,,,8/3/2024,,marcus riley b,marcus riley b
2024,Patriots,,tyrone wheatley jr,placed on ir,,,,8/3/2024,,tyrone wheatley jr,tyrone wheatley jr
2024,Texans,,charlie heck,placed on ir,,,,8/3/2024,,charlie heck,charlie heck
2024,Eagles,,mccallan castles,placed on ir,,,,8/4/2024,,mccallan castles,mccallan castles
2024,Panthers,,curtis hodges,placed on ir,,,,8/4/2024,,curtis hodges,curtis hodges
2024,Saints,,jermaine jackson,placed on ir,,,,8/4/2024,,jermaine jackson,jermaine jackson
2024,Texans,,jaylon thomas,placed on ir,,,,8/4/2024,,jaylon thomas,jaylon thomas
2024,49ers,,pat elflein,placed on ir with calf injury,,,,8/5/2024,,pat elflein,pat elflein
2024,Bills,,david ugwoegbu,placed on ir,,,,8/5/2024,,david ugwoegbu,david ugwoegbu
2024,Cardinals,,bj ojulari,placed on ir with torn acl in knee (out for season),,,,8/5/2024,,bj ojulari,bj ojulari
2024,Jaguars,,josh pederson,placed on ir,,,,8/5/2024,,josh pederson,josh pederson
2024,Panthers,,kemoko turay,placed on ir,,,,8/5/2024,,kemoko turay,kemoko turay
2024,Patriots,,jake andrews,placed on ir with undisclosed,,,,8/5/2024,,jake andrews,jake andrews
2024,49ers,,malik turner,placed on ir with undisclosed,,,,8/6/2024,,malik turner,malik turner
2024,Giants,,jashaun corbin,placed on ir,,,,8/6/2024,,jashaun corbin,jashaun corbin
2024,Panthers,,devin carter,placed on ir,,,,8/6/2024,,devin carter,devin carter
2024,Saints,,chandler brewer,placed on ir with undisclosed,,,,8/6/2024,,chandler brewer,chandler brewer
2024,Bengals,,cameron sample  cam sample,placed on ir with torn achilles tendon (out for season),,,,8/7/2024,,cameron sample cam sample,cameron sample cam
2024,Broncos,,ronnie perkins,placed on ir,,,,8/7/2024,,ronnie perkins,ronnie perkins
2024,Colts,,wesley french,placed on ir with surgery on ankle,,,,8/7/2024,,wesley french,wesley french
2024,Commanders,,alex akingbulu,placed on ir,,,,8/7/2024,,alex akingbulu,alex akingbulu
2024,Cowboys,,sam williams degarrick,"placed on ir with torn acl, mcl in knee (out for season)",,,,8/7/2024,,sam williams degarrick,sam williams degarrick
2024,Jaguars,,gregory junior,placed on ir,,,,8/7/2024,,gregory junior,gregory junior
2024,Panthers,,jd direnzo,placed on ir,,,,8/7/2024,,jd direnzo,jd direnzo
2024,Raiders,,tomari fox,placed on ir,,,,8/7/2024,,tomari fox,tomari fox
2024,Seahawks,,joshua onujiogu  josh onujiogu,placed on ir,,,,8/7/2024,,joshua onujiogu josh onujiogu,joshua onujiogu josh
2024,49ers,,terique owens,placed on ir,,,,8/8/2024,,terique owens,terique owens
2024,Buccaneers,,silas dzansi,placed on ir with knee injury,,,,8/8/2024,,silas dzansi,silas dzansi
2024,Jets,,hamze el-zayat,placed on ir,,,,8/8/2024,,hamze el-zayat,hamze el-zayat
2024,Packers,,don callis,placed on ir,,,,8/8/2024,,don callis,don callis
2024,Packers,,rory starkey,placed on ir,,,,8/8/2024,,rory starkey,rory starkey
2024,Seahawks,,marcus simms,placed on ir,,,,8/8/2024,,marcus simms,marcus simms
2024,Steelers,,tyler murray,placed on ir,,,,8/8/2024,,tyler murray,tyler murray
2024,Falcons,,rondale moore,placed on ir with knee injury (out for season),,,,8/8/2024,,rondale moore,rondale moore
2024,49ers,,austin bryant,placed on ir with foot injury,,,,8/9/2024,,austin bryant,austin bryant
2024,Jaguars,,deshaan dixon,placed on ir,,,,8/9/2024,,deshaan dixon,deshaan dixon
2024,Steelers,,nathan meadors  nate meadors,placed on ir,,,,8/9/2024,,nathan meadors nate meadors,nathan meadors nate
2024,Dolphins,,kion smith,placed on ir with torn acl in knee,,,,8/10/2024,,kion smith,kion smith
2024,Seahawks,,matthew gotel  matt gotel,placed on ir,,,,8/10/2024,,matthew gotel matt gotel,matthew gotel matt
2024,Steelers,,breiden fehoko,placed on ir with shoulder injury,,,,8/10/2024,,breiden fehoko,breiden fehoko
2024,Falcons,,bralen trice,placed on ir with torn acl in knee,,,,8/11/2024,,bralen trice,bralen trice
2024,Falcons,,harrison hand,placed on ir with knee injury,,,,8/11/2024,,harrison hand,harrison hand
2024,Lions,,nate lynn,placed on ir with shoulder injury,,,,8/11/2024,,nate lynn,nate lynn
2024,Dolphins,,cameron brown  cam brown a,placed on ir with undisclosed injury,,,,8/12/2024,,cameron brown cam brown a,cameron brown cam a
2024,Dolphins,,grayson murphy,placed on ir with knee injury,,,,8/12/2024,,grayson murphy,grayson murphy
2024,Jets,,jimmy ciarlo,placed on ir,,,,8/12/2024,,jimmy ciarlo,jimmy ciarlo
2024,Lions,,connor galvin,placed on ir,,,,8/12/2024,,connor galvin,connor galvin
2024,Panthers,,deven thompkins,placed on ir,,,,8/12/2024,,deven thompkins,deven thompkins
2024,49ers,,frank darby,placed on ir,,,,8/13/2024,,frank darby,frank darby
2024,Bills,,chase claypool,placed on ir with toe injury,,,,8/13/2024,,chase claypool,chase claypool
2024,Bills,,shane buechele,placed on ir with neck injury (out for season),,,,8/13/2024,,shane buechele,shane buechele
2024,Browns,,vincent gray,placed on ir,,,,8/13/2024,,vincent gray,vincent gray
2024,Colts,,trent pennix,placed on ir,,,,8/13/2024,,trent pennix,trent pennix
2024,Falcons,,robert burns b 1998-09-25,placed on ir,,,,8/13/2024,,robert burns b --,robert burns
2024,Jets,,myles jones,placed on ir,,,,8/13/2024,,myles jones,myles jones
2024,Lions,,antoine green,placed on ir,,,,8/13/2024,,antoine green,antoine green
2024,Patriots,,john morgan iii,placed on ir,,,,8/13/2024,,john morgan iii,john morgan iii
2024,Steelers,,kalon barnes,placed on ir,,,,8/13/2024,,kalon barnes,kalon barnes
2024,Raiders,,keelan doss,placed on ir,,,,8/13/2024,,keelan doss,keelan doss
2024,Bills,,bryan thompson,placed on ir,,,,8/14/2024,,bryan thompson,bryan thompson
2024,Lions,,daron gilbert,placed on ir,,,,8/14/2024,,daron gilbert,daron gilbert
2024,Steelers,,tarik black,placed on ir,,,,8/14/2024,,tarik black,tarik black
2024,Vikings,,jabril cox,placed on ir,,,,8/14/2024,,jabril cox,jabril cox
2024,Colts,,ethan fernea,placed on ir,,,,8/15/2024,,ethan fernea,ethan fernea
2024,Cowboys,,shaka toney,placed on ir,,,,8/15/2024,,shaka toney,shaka toney
2024,Falcons,,jakeem grant,placed on ir with hamstring injury,,,,8/15/2024,,jakeem grant,jakeem grant
2024,Giants,,elijah riley,placed on ir with concussion,,,,8/15/2024,,elijah riley,elijah riley
2024,Lions,,morice norris jr,placed on ir,,,,8/15/2024,,morice norris jr,morice norris jr
2024,Seahawks,,nathan pickering,placed on ir,,,,8/15/2024,,nathan pickering,nathan pickering
2024,Steelers,,grayland arnold,placed on ir with calf injury,,,,8/15/2024,,grayland arnold,grayland arnold
2024,Panthers,,nash jensen,placed on ir,,,,8/16/2024,,nash jensen,nash jensen
2024,Titans,,marlon davidson,placed on ir with biceps injury,,,,8/16/2024,,marlon davidson,marlon davidson
2024,Vikings,,jj mccarthy,placed on ir recovering from surgery on knee (out for season),,,,8/16/2024,,jj mccarthy,jj mccarthy
2024,Browns,,brady breeze,placed on ir,,,,8/17/2024,,brady breeze,brady breeze
2024,Eagles,,tyler hall,placed on ir with undisclosed,,,,8/17/2024,,tyler hall,tyler hall
2024,Giants,,tyree jackson,placed on ir,,,,8/17/2024,,tyree jackson,tyree jackson
2024,Eagles,,mekhi garner,placed on ir,,,,8/18/2024,,mekhi garner,mekhi garner
2024,Jets,,malik taylor,placed on ir with undisclosed injury,,,,8/18/2024,,malik taylor,malik taylor
2024,Bengals,,chris evans,placed on ir with torn patellar tendon in knee,,,,8/19/2024,,chris evans,chris evans
2024,Bengals,,dante smith,placed on ir with patellar injury,,,,8/19/2024,,dante smith,dante smith
2024,Browns,,hakeem adeniji,placed on ir with knee injury,,,,8/19/2024,,hakeem adeniji,hakeem adeniji
2024,Colts,,ryan coll a,placed on ir with shoulder injury,,,,8/19/2024,,ryan coll a,ryan coll a
2024,Cowboys,,earl bostick jr,placed on ir with surgery on right leg,,,,8/19/2024,,earl bostick jr,earl bostick jr
2024,Dolphins,,sean harlow,placed on ir with undisclosed injury,,,,8/19/2024,,sean harlow,sean harlow
2024,Dolphins,,willie snead iv,placed on ir with undisclosed injury,,,,8/19/2024,,willie snead iv,willie snead iv
2024,Giants,,yodny cajuste,placed on ir with undisclosed injury,,,,8/19/2024,,yodny cajuste,yodny cajuste
2024,Panthers,,anthony brown shaquille,placed on ir with thumb injury,,,,8/19/2024,,anthony brown shaquille,anthony brown shaquille
2024,Panthers,,jake luton,placed on ir with undisclosed injury,,,,8/19/2024,,jake luton,jake luton
2024,Chiefs,,mckade mettauer,placed on ir,,,,8/20/2024,,mckade mettauer,mckade mettauer
2024,Colts,,josh sills,placed on ir,,,,8/20/2024,,josh sills,josh sills
2024,Dolphins,,ezekiel vandenburgh  zeke vandenburgh,placed on ir,,,,8/20/2024,,ezekiel vandenburgh zeke vandenburgh,ezekiel vandenburgh zeke
2024,Giants,,ryder anderson,placed on ir,,,,8/20/2024,,ryder anderson,ryder anderson
2024,Lions,,malik jefferson,placed on ir with undisclosed injury,,,,8/20/2024,,malik jefferson,malik jefferson
2024,Lions,,trequan smith,placed on ir with undisclosed injury,,,,8/20/2024,,trequan smith,trequan smith
2024,Panthers,,lamar jackson b 1998-04-13,placed on ir,,,,8/20/2024,,lamar jackson b --,lamar jackson
2024,Panthers,,tayvion robinson,placed on ir,,,,8/20/2024,,tayvion robinson,tayvion robinson
2024,Patriots,,jaquae jackson,placed on ir with knee injury,,,,8/20/2024,,jaquae jackson,jaquae jackson
2024,Steelers,,nate herbig,placed on ir with torn rotator cuff in shoulder,,,,8/20/2024,,nate herbig,nate herbig
2024,Titans,,garret wallow,placed on ir with torn pectoral muscle,,,,8/20/2024,,garret wallow,garret wallow
2024,Bears,,freddie swain,placed on ir with undisclosed injury,,,,8/21/2024,,freddie swain,freddie swain
2024,Commanders,,ben nikkel,placed on ir,,,,8/21/2024,,ben nikkel,ben nikkel
2024,Commanders,,keandre jones,placed on ir,,,,8/21/2024,,keandre jones,keandre jones
2024,Giants,,dennis houston,placed on ir,,,,8/21/2024,,dennis houston,dennis houston
2024,Packers,,jarveon howard,placed on ir,,,,8/21/2024,,jarveon howard,jarveon howard
2024,Texans,,dalton keene b 1999-04-14,placed on ir with knee injury,,,,8/21/2024,,dalton keene b --,dalton keene
2024,Browns,,brandon bouyer-randle,placed on ir,,,,8/22/2024,,brandon bouyer-randle,brandon bouyer-randle
2024,Chiefs,,jaaron hayek,placed on ir,,,,8/22/2024,,jaaron hayek,jaaron hayek
2024,Raiders,,jeff foreman,placed on ir,,,,8/22/2024,,jeff foreman,jeff foreman
2024,Saints,,sincere haynesworth,placed on ir,,,,8/22/2024,,sincere haynesworth,sincere haynesworth
2024,Vikings,,jeremy flax,placed on ir,,,,8/22/2024,,jeremy flax,jeremy flax
2024,Vikings,,najee thompson,placed on ir,,,,8/22/2024,,najee thompson,najee thompson
2024,49ers,,tayler hawkins,placed on ir,,,,8/23/2024,,tayler hawkins,tayler hawkins
2024,Panthers,,badara traore,placed on ir,,,,8/23/2024,,badara traore,badara traore
2024,Vikings,,trey knox,placed on ir,,,,8/23/2024,,trey knox,trey knox
2024,Bears,,ian wheeler,placed on ir with torn acl in knee,,,,8/24/2024,,ian wheeler,ian wheeler
2024,Bears,,nsimba webster,placed on ir with groin injury,,,,8/24/2024,,nsimba webster,nsimba webster
2024,Bills,,dee delaney,placed on ir with knee injury,,,,8/25/2024,,dee delaney,dee delaney
2024,Bills,,terrell burgess,placed on ir with hamstring injury,,,,8/25/2024,,terrell burgess,terrell burgess
2024,Dolphins,,anthony schwartz,placed on ir with left knee injury,,,,8/25/2024,,anthony schwartz,anthony schwartz
2024,49ers,,elijah mitchell b,placed on ir with hamstring injury,,,,8/27/2024,,elijah mitchell b,elijah mitchell b
2024,49ers,,kalia davis,placed on ir with knee injury,,,,8/27/2024,,kalia davis,kalia davis
2024,Bears,,dante pettis,placed on ir with undisclosed injury,,,,8/27/2024,,dante pettis,dante pettis
2024,Bears,,jacob martin  jake martin,placed on ir,,,,8/27/2024,,jacob martin jake martin,jacob martin jake
2024,Bears,,larry borom,placed on ir,,,,8/27/2024,,larry borom,larry borom
2024,Bengals,,brad robbins,placed on ir,,,,8/27/2024,,brad robbins,brad robbins
2024,Bengals,,myles murphy a,placed on ir,,,,8/27/2024,,myles murphy a,myles murphy a
2024,Bills,,darrynton evans,placed on ir with hamstring injury,,,,8/27/2024,,darrynton evans,darrynton evans
2024,Bills,,matt milano,placed on ir,,,,8/27/2024,,matt milano,matt milano
2024,Bills,,travis clayton,placed on ir with right shoulder injury,,,,8/27/2024,,travis clayton,travis clayton
2024,Broncos,,damarri mathis,placed on ir,,,,8/27/2024,,damarri mathis,damarri mathis
2024,Browns,,luke wypler,placed on ir with fractured right ankle,,,,8/27/2024,,luke wypler,luke wypler
2024,Buccaneers,,chase edmonds,placed on ir with knee injury,,,,8/27/2024,,chase edmonds,chase edmonds
2024,Buccaneers,,rakim jarrett,placed on ir with undisclosed injury,,,,8/27/2024,,rakim jarrett,rakim jarrett
2024,Cardinals,,christian jones b,placed on ir,,,,8/27/2024,,christian jones b,christian jones b
2024,Cardinals,,darius robinson,placed on ir,,,,8/27/2024,,darius robinson,darius robinson
2024,Cardinals,,tony jones jr,placed on ir with shoulder injury,,,,8/27/2024,,tony jones jr,tony jones jr
2024,Chargers,,bucky williams,placed on ir with undisclosed injury,,,,8/27/2024,,bucky williams,bucky williams
2024,Chargers,,chris collins b,placed on ir with undisclosed injury,,,,8/27/2024,,chris collins b,chris collins b
2024,Chargers,,chris rumph ii,placed on ir with foot injury,,,,8/27/2024,,chris rumph ii,chris rumph ii
2024,Chargers,,nick niemann,placed on ir with undisclosed injury,,,,8/27/2024,,nick niemann,nick niemann
2024,Chargers,,tyler mclellan,placed on ir with leg injury,,,,8/27/2024,,tyler mclellan,tyler mclellan
2024,Colts,,cameron mcgrone,placed on ir,,,,8/27/2024,,cameron mcgrone,cameron mcgrone
2024,Colts,,jelani woods,placed on ir with toe injury,,,,8/27/2024,,jelani woods,jelani woods
2024,Colts,,juwann winfree,placed on ir with undisclosed injury,,,,8/27/2024,,juwann winfree,juwann winfree
2024,Colts,,samson ebukam,placed on ir with torn achilles tendon,,,,8/27/2024,,samson ebukam,samson ebukam
2024,Commanders,,jordan magee,placed on ir with knee injury,,,,8/27/2024,,jordan magee,jordan magee
2024,Commanders,,norell pollard,placed on ir with undisclosed injury,,,,8/27/2024,,norell pollard,norell pollard
2024,Commanders,,taylor stallworth,placed on ir with hamstring injury,,,,8/27/2024,,taylor stallworth,taylor stallworth
2024,Cowboys,,daron bland,placed on ir with foot injury,,,,8/27/2024,,daron bland,daron bland
2024,Cowboys,,nathan thomas,placed on ir with undisclosed injury,,,,8/27/2024,,nathan thomas,nathan thomas
2024,Dolphins,,cam smith marquise jani,placed on ir with hamstring injury,,,,8/27/2024,,cam smith marquise jani,cam smith
2024,Dolphins,,river cracraft,placed on ir with upper body injury,,,,8/27/2024,,river cracraft,river cracraft
2024,Dolphins,,wyatt ray,placed on ir with undisclosed injury,,,,8/27/2024,,wyatt ray,wyatt ray
2024,Eagles,,ainias smith,placed on ir with ankle injury,,,,8/27/2024,,ainias smith,ainias smith
2024,Eagles,,albert okwuegbunam,placed on ir with core muscle injury,,,,8/27/2024,,albert okwuegbunam,albert okwuegbunam
2024,Falcons,,demarcco hellams,placed on ir,,,,8/27/2024,,demarcco hellams,demarcco hellams
2024,Giants,,isaiah mckenzie,placed on ir with various injuries,,,,8/27/2024,,isaiah mckenzie,isaiah mckenzie
2024,Giants,,matthew adams  matt adams,placed on ir,,,,8/27/2024,,matthew adams matt adams,matthew adams matt
2024,Jaguars,,andrew wingard,placed on ir with knee injury,,,,8/27/2024,,andrew wingard,andrew wingard
2024,Jaguars,,keilan robinson,placed on ir with toe injury,,,,8/27/2024,,keilan robinson,keilan robinson
2024,Jets,,kenny yeboah,placed on ir with groin injury,,,,8/27/2024,,kenny yeboah,kenny yeboah
2024,Jets,,leki fotu,placed on ir with undisclosed injury,,,,8/27/2024,,leki fotu,leki fotu
2024,Lions,,brodric martin,placed on ir,,,,8/27/2024,,brodric martin,brodric martin
2024,Lions,,emmanuel moseley,placed on ir with pectoral injury,,,,8/27/2024,,emmanuel moseley,emmanuel moseley
2024,Packers,,aj dillon,placed on ir with neck injury,,,,8/27/2024,,aj dillon,aj dillon
2024,Packers,,jonathan ford,placed on ir,,,,8/27/2024,,jonathan ford,jonathan ford
2024,Panthers,,cam gill,placed on ir with right foot injury,,,,8/27/2024,,cam gill,cam gill
2024,Panthers,,dane jackson,placed on ir with hamstring injury,,,,8/27/2024,,dane jackson,dane jackson
2024,Panthers,,sam franklin jr,placed on ir,,,,8/27/2024,,sam franklin jr,sam franklin jr
2024,Panthers,,tae davis marquez,placed on ir with foot injury,,,,8/27/2024,,tae davis marquez,tae davis marquez
2024,Patriots,,armon watts,placed on ir with undisclosed injury,,,,8/27/2024,,armon watts,armon watts
2024,Patriots,,marte mapu,placed on ir with undisclosed injury,,,,8/27/2024,,marte mapu,marte mapu
2024,Raiders,,trey taylor,placed on ir with knee injury,,,,8/27/2024,,trey taylor,trey taylor
2024,Rams,,kt leveston,placed on ir with ankle injury,,,,8/27/2024,,kt leveston,kt leveston
2024,Rams,,larrell murchison,placed on ir with arm injury,,,,8/27/2024,,larrell murchison,larrell murchison
2024,Rams,,trevius hodges-tomlinson  tre tomlinson,placed on ir with undisclosed injury,,,,8/27/2024,,trevius hodges-tomlinson tre tomlinson,trevius hodges-tomlinson
2024,Rams,,tyler davis,placed on ir with shoulder injury,,,,8/27/2024,,tyler davis,tyler davis
2024,Ravens,,arthur maulet,placed on ir with undisclosed injury,,,,8/27/2024,,arthur maulet,arthur maulet
2024,Ravens,,christian matthew,placed on ir with undisclosed injury,,,,8/27/2024,,christian matthew,christian matthew
2024,Ravens,,deion jennings,placed on ir with undisclosed injury,,,,8/27/2024,,deion jennings,deion jennings
2024,Ravens,,isaiah washington,placed on ir with undisclosed injury,,,,8/27/2024,,isaiah washington,isaiah washington
2024,Ravens,,owen wright,placed on ir with undisclosed injury,,,,8/27/2024,,owen wright,owen wright
2024,Ravens,,trayvon mullen,placed on ir with undisclosed injury,,,,8/27/2024,,trayvon mullen,trayvon mullen
2024,Saints,,camron peterson,placed on ir with undisclosed injury,,,,8/27/2024,,camron peterson,camron peterson
2024,Saints,,kendre miller,placed on ir with hamstring injury,,,,8/27/2024,,kendre miller,kendre miller
2024,Saints,,kevin rader,placed on ir with undisclosed injury,,,,8/27/2024,,kevin rader,kevin rader
2024,Saints,,rejzohn wright,placed on ir with undisclosed injury,,,,8/27/2024,,rejzohn wright,rejzohn wright
2024,Steelers,,dylan cook,placed on ir with foot injury,,,,8/27/2024,,dylan cook,dylan cook
2024,Steelers,,jeremiah moon,placed on ir with undisclosed injury,,,,8/27/2024,,jeremiah moon,jeremiah moon
2024,Steelers,,julius welschof,placed on ir with knee injury,,,,8/27/2024,,julius welschof,julius welschof
2024,Steelers,,ryan watts,placed on ir with stinger,,,,8/27/2024,,ryan watts,ryan watts
2024,Texans,,brandon hill,placed on ir with surgery on knee,,,,8/27/2024,,brandon hill,brandon hill
2024,Texans,,case keenum,placed on ir with foot injury,,,,8/27/2024,,case keenum,case keenum
2024,Texans,,christian harris,placed on ir,,,,8/27/2024,,christian harris,christian harris
2024,Texans,,kurt hinish,placed on ir,,,,8/27/2024,,kurt hinish,kurt hinish
2024,Titans,,chance campbell,placed on ir with torn acl in knee,,,,8/27/2024,,chance campbell,chance campbell
2024,Titans,,lachavious simmons,placed on ir,,,,8/27/2024,,lachavious simmons,lachavious simmons
2024,Titans,,tk mclendon jr,placed on ir with turf toe,,,,8/27/2024,,tk mclendon jr,tk mclendon jr
2024,Vikings,,dalton risner,placed on ir with back injury,,,,8/27/2024,,dalton risner,dalton risner
2024,Vikings,,gabriel murphy,placed on ir with undisclosed injury,,,,8/27/2024,,gabriel murphy,gabriel murphy
2024,Vikings,,jordan kunaszyk,placed on ir with undisclosed injury,,,,8/27/2024,,jordan kunaszyk,jordan kunaszyk
2024,Patriots,,calvin anderson,placed on ir with undisclosed injury,,,,8/27/2024,,calvin anderson,calvin anderson
2024,Bears,,douglas coleman iii,placed on ir,,,,8/28/2024,,douglas coleman iii,douglas coleman iii
2024,Bengals,,lance robinson,placed on ir,,,,8/28/2024,,lance robinson,lance robinson
2024,Broncos,,durell nchami,placed on ir,,,,8/28/2024,,durell nchami,durell nchami
2024,Browns,,chase williams b,placed on ir,,,,8/28/2024,,chase williams b,chase williams b
2024,Buccaneers,,kalen deloach,placed on ir,,,,8/28/2024,,kalen deloach,kalen deloach
2024,Buccaneers,,lwal uguak,placed on ir,,,,8/28/2024,,lwal uguak,lwal uguak
2024,Buccaneers,,shaun peterson jr,placed on ir,,,,8/28/2024,,shaun peterson jr,shaun peterson jr
2024,Chiefs,,tyree gillespie,placed on ir,,,,8/28/2024,,tyree gillespie,tyree gillespie
2024,Commanders,,alex taylor  armani taylor-prioleau,placed on ir,,,,8/28/2024,,alex taylor armani taylor-prioleau,alex taylor
2024,Commanders,,ricky stromberg,placed on ir,,,,8/28/2024,,ricky stromberg,ricky stromberg
2024,Cowboys,,david durden,placed on ir,,,,8/28/2024,,david durden,david durden
2024,Cowboys,,durrell johnson,placed on ir,,,,8/28/2024,,durrell johnson,durrell johnson
2024,Cowboys,,viliami fehoko jr,placed on ir,,,,8/28/2024,,viliami fehoko jr,viliami fehoko jr
2024,Dolphins,,braylon sanders,placed on ir,,,,8/28/2024,,braylon sanders,braylon sanders
2024,Dolphins,,christopher brooks  chris brooks b,placed on ir,,,,8/28/2024,,christopher brooks chris brooks b,christopher brooks chris b
2024,Dolphins,,ryan hayes,placed on ir,,,,8/28/2024,,ryan hayes,ryan hayes
2024,Eagles,,jacob harris,placed on ir,,,,8/28/2024,,jacob harris,jacob harris
2024,Eagles,,joseph ngata,placed on ir,,,,8/28/2024,,joseph ngata,joseph ngata
2024,Falcons,,camilo eifler  milo eifler,placed on ir,,,,8/28/2024,,camilo eifler milo eifler,camilo eifler milo
2024,Falcons,,josh thompson b 1998-10-20,placed on ir,,,,8/28/2024,,josh thompson b --,josh thompson
2024,Giants,,jalen mayfield,placed on ir,,,,8/28/2024,,jalen mayfield,jalen mayfield
2024,Giants,,jonathan sutherland,placed on ir,,,,8/28/2024,,jonathan sutherland,jonathan sutherland
2024,Giants,,mario goodrich,placed on ir,,,,8/28/2024,,mario goodrich,mario goodrich
2024,Giants,,ovie oghoufo,placed on ir,,,,8/28/2024,,ovie oghoufo,ovie oghoufo
2024,Giants,,timmy horne,placed on ir,,,,8/28/2024,,timmy horne,timmy horne
2024,Jaguars,,patrick murtagh,placed on ir,,,,8/28/2024,,patrick murtagh,patrick murtagh
2024,Lions,,david bada,placed on ir,,,,8/28/2024,,david bada,david bada
2024,Packers,,alonzo davis  lj davis,placed on ir,,,,8/28/2024,,alonzo davis lj davis,alonzo davis lj
2024,Packers,,ralen goforth,placed on ir,,,,8/28/2024,,ralen goforth,ralen goforth
2024,Panthers,,tyler smith b,placed on ir,,,,8/28/2024,,tyler smith b,tyler smith b
2024,Raiders,,brandon facyson,placed on ir,,,,8/28/2024,,brandon facyson,brandon facyson
2024,Raiders,,corey luciano,placed on ir,,,,8/28/2024,,corey luciano,corey luciano
2024,Raiders,,elerson smith,placed on ir,,,,8/28/2024,,elerson smith,elerson smith
2024,Raiders,,ron stone jr,placed on ir,,,,8/28/2024,,ron stone jr,ron stone jr
2024,Rams,,anthony goodlow,placed on ir,,,,8/28/2024,,anthony goodlow,anthony goodlow
2024,Saints,,trajan jeffcoat,placed on ir,,,,8/28/2024,,trajan jeffcoat,trajan jeffcoat
2024,Seahawks,,jack westover,placed on ir,,,,8/28/2024,,jack westover,jack westover
2024,Texans,,jawhar jordan,placed on ir,,,,8/28/2024,,jawhar jordan,jawhar jordan
2024,Texans,,pheldarius payne,placed on ir,,,,8/28/2024,,pheldarius payne,pheldarius payne
2024,Texans,,teagan quitoriano,placed on ir,,,,8/28/2024,,teagan quitoriano,teagan quitoriano
2024,Titans,,jojo domann,placed on ir,,,,8/28/2024,,jojo domann,jojo domann
2024,Titans,,kyle philips,placed on ir,,,,8/28/2024,,kyle philips,kyle philips
2024,Titans,,treshaun harrison,placed on ir,,,,8/28/2024,,treshaun harrison,treshaun harrison
2024,Vikings,,malik knowles,placed on ir,,,,8/28/2024,,malik knowles,malik knowles
2024,49ers,,ambry thomas,placed on ir,,,,8/29/2024,,ambry thomas,ambry thomas
2024,49ers,,jon feliciano,placed on ir (out for season),,,,8/29/2024,,jon feliciano,jon feliciano
2024,Bengals,,mckinnley jackson,placed on ir with knee injury,,,,8/29/2024,,mckinnley jackson,mckinnley jackson
2024,Cardinals,,elijah jones,placed on ir with heel injury,,,,8/29/2024,,elijah jones,elijah jones
2024,Cowboys,,chuma edoga,placed on ir with toe injury,,,,8/29/2024,,chuma edoga,chuma edoga
2024,Dolphins,,patrick mcmorris,placed on ir with foot injury,,,,8/29/2024,,patrick mcmorris,patrick mcmorris
2024,Eagles,,james bradberry,placed on ir with lower leg injury,,,,8/29/2024,,james bradberry,james bradberry
2024,Giants,,austin schlottmann,placed on ir with leg injury,,,,8/29/2024,,austin schlottmann,austin schlottmann
2024,Giants,,dyontae johnson,placed on ir with ankle injury,,,,8/29/2024,,dyontae johnson,dyontae johnson
2024,Lions,,john cominsky,placed on ir,,,,8/29/2024,,john cominsky,john cominsky
2024,Packers,,nate mccrary,placed on ir,,,,8/29/2024,,nate mccrary,nate mccrary
2024,Panthers,,jaden crumedy,placed on ir with high ankle sprain,,,,8/29/2024,,jaden crumedy,jaden crumedy
2024,Rams,,conor mcdermott,placed on ir,,,,8/29/2024,,conor mcdermott,conor mcdermott
2024,Titans,,cedric gray,placed on ir with shoulder injury,,,,8/29/2024,,cedric gray,cedric gray
2024,Bears,,patrick scales,placed on ir recovering from surgery on back,,,,8/29/2024,,patrick scales,patrick scales
2024,Panthers,,messiah swinson,placed on ir,,,,9/4/2024,,messiah swinson,messiah swinson
2024,Buccaneers,,earnest brown iv,placed on ir with ribcage injury,,,,9/5/2024,,earnest brown iv,earnest brown iv
