Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Chiefs,,chandler williams iii,placed on ir,,,,9/4/2010,
2010,Chiefs,,jerheme urban,placed on ir with finger injury,,,,9/4/2010,
2010,Chiefs,,maurice leggett,placed on ir with neck injury,,,,9/4/2010,
2010,Chiefs,,tervaris johnson,placed on ir,,,,9/4/2010,
2010,Colts,,brett swenson,placed on ir,,,,9/4/2010,
2010,Colts,,david caldwell b,placed on ir,,,,9/4/2010,
2010,Colts,,donye mccleskey  donye' mccleskey,placed on ir,,,,9/4/2010,
2010,Colts,,jamie silva,placed on ir,,,,9/4/2010,
2010,Colts,,jordan hemby,placed on ir,,,,9/4/2010,
2010,Colts,,marcus mccauley,placed on ir,,,,9/4/2010,
2010,Colts,,tom santi,placed on ir,,,,9/4/2010,
2010,Dolphins,,joey haynos,placed on ir,,,,9/4/2010,
2010,Dolphins,,kory sheets,placed on ir,,,,9/4/2010,
2010,Eagles,,antoine harris,placed on ir,,,,9/4/2010,
2010,Eagles,,marlin jackson,placed on ir,,,,9/4/2010,
2010,Falcons,,thomas johnson b 1981-06-24,placed on ir,,,,9/4/2010,
2010,Giants,,domenik hixon,placed on ir,,,,9/4/2010,
2010,Giants,,jim sorgi,placed on ir,,,,9/4/2010,
2010,Giants,,sinorice moss,placed on ir,,,,9/4/2010,
2010,Jaguars,,bryan smith,placed on ir,,,,9/4/2010,
2010,Jaguars,,chris mcgaha,placed on ir,,,,9/4/2010,
2010,Jaguars,,freddy keiaho,placed on ir,,,,9/4/2010,
2010,Jaguars,,jason harmon b,placed on ir,,,,9/4/2010,
2010,Jaguars,,kyle bosworth,placed on ir with undisclosed injury,,,,9/4/2010,
2010,Jaguars,,nate hughes,placed on ir,,,,9/4/2010,
2010,Jaguars,,terrell whitehead,placed on ir,,,,9/4/2010,
2010,Lions,,copeland bryan,placed on ir,,,,9/4/2010,
2010,Lions,,jake nordin,placed on ir,,,,9/4/2010,
2010,Lions,,jared devries,placed on ir,,,,9/4/2010,
2010,Lions,,joe cohen,placed on ir,,,,9/4/2010,
2010,Lions,,jordon dizon,placed on ir,,,,9/4/2010,
2010,Lions,,richard dickson,placed on ir,,,,9/4/2010,
2010,Lions,,tj rushing,placed on ir,,,,9/4/2010,
2010,Lions,,trevor canfield,placed on ir,,,,9/4/2010,
2010,Packers,,josh bell,placed on ir,,,,9/4/2010,
2010,Packers,,quinn porter,placed on ir,,,,9/4/2010,
2010,Packers,,will blackmon,placed on ir with knee injury,,,,9/4/2010,
2010,Panthers,,cj davis,placed on ir with concussion,,,,9/4/2010,
2010,Panthers,,duke robinson,placed on ir with knee injury,,,,9/4/2010,
