Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2022,Chargers,,joe gaziano,placed on ir with groin injury,,,,12/21/2022,
2022,Titans,,dillon radunz,placed on ir with knee injury,,,,12/21/2022,
2022,Broncos,,tom compton,placed on ir with back injury,,,,12/22/2022,
2022,Saints,,jarvis landry,placed on ir with ankle injury,,,,12/22/2022,
2022,Titans,,ben jones 1989-07-02,placed on ir with concussion,,,,12/22/2022,
2022,Titans,,terrance mitchell,placed on ir with hamstring injury,,,,12/22/2022,
2022,Bears,,jaylon johnson,"placed on ir with finger, ribs injuries (out for season)",,,,12/23/2022,
2022,Bears,,kindle vildor,placed on ir with ankle injury,,,,12/23/2022,
2022,Buccaneers,,genard avery,"placed on ir with abdominal, oblique injuries",,,,12/23/2022,
2022,Chiefs,,jody fortson jr  joe fortson,placed on ir with elbow injury,,,,12/23/2022,
2022,Eagles,,tyree jackson,placed on ir,,,,12/23/2022,
2022,Patriots,,joe cardona,placed on ir with ankle injury,,,,12/23/2022,
2022,Texans,,nico collins,placed on ir with foot injury,,,,12/23/2022,
2022,Titans,,nate davis matthew eugene,placed on ir with ankle injury,,,,12/23/2022,
2022,Cardinals,,byron murphy jr,placed on ir with back injury,,,,12/24/2022,
2022,Rams,,jake gervase,placed on ir with ankle injury,,,,12/24/2022,
2022,Cardinals,,aaron brewer b 1990-07-05,placed on ir with pectoral injury,,,,12/26/2022,
2022,Chargers,,kemon hall,placed on ir with hamstring injury,,,,12/26/2022,
2022,Jaguars,,cam robinson,placed on ir with knee injury,,,,12/26/2022,
2022,Jaguars,,dawuane smoot,placed on ir with torn right achilles tendon,,,,12/26/2022,
2022,Buccaneers,,josh wells,placed on ir with knee injury,,,,12/27/2022,
2022,Dolphins,,myles gaskin,placed on ir with sprained mcl in knee,,,,12/27/2022,
2022,Packers,,dean lowry,placed on ir with calf injury,,,,12/27/2022,
2022,Seahawks,,joey blount,placed on ir with knee injury,,,,12/27/2022,
2022,Seahawks,,will dissly,placed on ir with knee injury,,,,12/27/2022,
2022,Steelers,,marcus allen deshawn,placed on ir with biceps injury,,,,12/27/2022,
2022,Cardinals,,budda baker,placed on ir with fractured shoulder,,,,12/28/2022,
2022,Cardinals,,trysten hill,placed on ir with sprained knee,,,,12/28/2022,
2022,Colts,,isaiah rodgers,placed on ir with knee injury,,,,12/28/2022,
2022,Giants,,shane lemieux,placed on ir with toe injury,,,,12/28/2022,
2022,Raiders,,chandler jones james,placed on ir with elbow injury,,,,12/28/2022,
2022,Raiders,,denzel perryman,placed on ir with shoulder injury,,,,12/28/2022,
2022,Raiders,,rock ya-sin,placed on ir with knee injury,,,,12/29/2022,
2022,Titans,,bud dupree,placed on ir with pectoral injury,,,,12/29/2022,
2022,Titans,,ryan tannehill,placed on ir with ankle injury (surgery),,,,12/29/2022,
2022,Titans,,zach cunningham,placed on ir with elbow injury,,,,12/29/2022,
2022,Bengals,,la'el collins,placed on ir with left knee injury,,,,12/30/2022,
2022,Broncos,,greg dulcich,placed on ir with hamstring injury,,,,12/30/2022,
2022,Commanders,,jonathan bostic  jon bostic b,placed on ir with pectoral injury,,,,12/30/2022,
2022,Broncos,,randy gregory,placed on ir with knee injury,,,,12/31/2022,
2022,Browns,,jordan kunaszyk,placed on ir with hand injury,,,,12/31/2022,
2022,Colts,,yannick ngakoue,placed on ir with surgery on throat,,,,12/31/2022,
2022,Dolphins,,justin zimmer,placed on ir with undisclosed,,,,12/31/2022,
2022,Falcons,,chuma edoga,placed on ir with knee injury,,,,12/31/2022,
2022,Falcons,,jovante moffatt,placed on ir with calf injury,,,,12/31/2022,
2022,Jets,,jeff smith alan,placed on ir with knee injury,,,,12/31/2022,
2022,Patriots,,jack jones b 1997-12-20,placed on ir with knee injury,,,,12/31/2022,
2022,Seahawks,,marquise goodwin,"placed on ir with shoulder, wrist injuries",,,,12/31/2022,
2022,Panthers,,jaycee horn,placed on ir with wrist injury (surgery),,,,1/2/2023,
2022,Titans,,andrew adams,placed on ir with knee injury,,,,1/2/2023,
2022,Broncos,,dalton risner,placed on ir with hyperextended left elbow,,,,1/3/2023,
2022,Broncos,,marlon mack,placed on ir with hamstring injury,,,,1/3/2023,
2022,Vikings,,austin schlottmann,placed on ir with fractured fibula in leg,,,,1/3/2023,
2022,Vikings,,brian o'neill b,"placed on ir with calf, achilles injuries",,,,1/3/2023,
2022,Bears,,josh blackwell,placed on ir with undisclosed,,,,1/4/2023,
2022,Bears,,michael schofield,placed on ir with knee injury,,,,1/4/2023,
2022,Bears,,teven jenkins,placed on ir with neck injury,,,,1/4/2023,
2022,Colts,,kenny moore ii,placed on ir with ankle injury,,,,1/4/2023,
2022,Commanders,,de'jon harris,placed on ir with undisclosed,,,,1/4/2023,
2022,Seahawks,,jordyn brooks,placed on ir with torn acl in right knee,,,,1/4/2023,
2022,Commanders,,antonio gibson b 1998-06-23,"placed on ir with foot, knee injuries",,,,1/5/2023,
2022,Dolphins,,eric fisher,placed on ir with calf injury,,,,1/5/2023,
2022,Bills,,damar hamlin,placed on ir with heart ailment (out for season),,,,1/6/2023,
2022,Cardinals,,chris banjo,placed on ir with concussion,,,,1/6/2023,
2022,Cardinals,,jonathan ledbetter,placed on ir with knee injury,,,,1/6/2023,
2022,Commanders,,benjamin st-juste,placed on ir with ankle injury,,,,1/6/2023,
2022,Commanders,,saahdiq charles,placed on ir with concussion / knee injury (out for season),,,,1/6/2023,
2022,Commanders,,jamin davis,placed on ir with knee injury,,,,1/7/2023,
2022,Eagles,,janarius robinson,placed on ir with ankle injury,,,,1/7/2023,
2022,Eagles,,shaun bradley,placed on ir with wrist injury,,,,1/7/2023,
2022,Jets,,brandin echols,placed on ir with quadriceps injury,,,,1/7/2023,
2022,Jets,,duane brown,placed on ir with shoulder injury,,,,1/7/2023,
2022,Jets,,george fant,placed on ir with knee injury,,,,1/7/2023,
2022,Jets,,lamarcus joyner,placed on ir with hip injury,,,,1/7/2023,
2022,Jets,,nate herbig,placed on ir with calf injury,,,,1/7/2023,
2022,Rams,,nick scott,placed on ir with shoulder injury,,,,1/7/2023,
2022,Seahawks,,travis homer,placed on ir with ankle injury,,,,1/7/2023,
2022,Buccaneers,,anthony chesley,placed on ir with hamstring injury,,,,1/10/2023,
2022,Ravens,,tylan wallace,placed on ir with hamstring injury (out for season),,,,1/14/2023,
2022,Chiefs,,mecole hardman,placed on ir with pelvis injury,,,,2/6/2023,
2023,Falcons,,bj baylor,placed on ir with undisclosed,,,,5/16/2023,
2023,Steelers,,renell wren,placed on ir with undisclosed,,,,5/16/2023,
2023,Jaguars,,jaylon moore b 1997-07-01,placed on ir with undisclosed,,,,5/17/2023,
2023,Texans,,taylor stallworth,placed on ir with hamstring injury,,,,5/18/2023,
2023,Jets,,bradlee anae,placed on ir with undisclosed injury,,,,5/25/2023,
2023,Patriots,,raekwon mcmillan,placed on ir with torn achilles tendon,,,,5/25/2023,
2023,Seahawks,,latrell bumphus,placed on ir with undisclosed injury,,,,6/2/2023,
2023,Bills,,zach davidson,placed on ir with knee injury,,,,6/14/2023,
2023,Colts,,daniel scott,placed on ir with surgery on knee to repair torn acl,,,,6/14/2023,
2023,Falcons,,avery williams b,placed on ir recovering from surgery on knee to repair torn acl,,,,6/16/2023,
2023,Giants,,andre miller  dre miller,placed on ir with undisclosed,,,,6/16/2023,
2023,Browns,,dawson deaton,placed on ir with undisclosed injury,,,,7/11/2023,
2023,Jaguars,,leonard taylor,placed on ir with undisclosed injury,,,,7/11/2023,
2023,Dolphins,,ezekiel vandenburgh  zeke vandenburgh,placed on ir with undisclosed injury,,,,7/18/2023,
2023,Giants,,jarrad davis,placed on ir with knee injury,,,,7/18/2023,
2023,Jets,,chuck clark,placed on ir recovering from torn acl in knee,,,,7/19/2023,
2023,Jets,,diontae spencer,placed on ir with undisclosed injury,,,,7/19/2023,
2023,Giants,,leonard johnson d,placed on ir,,,,7/20/2023,
2023,Cardinals,,matt hembrough,placed on ir with back injury,,,,7/25/2023,
2023,Commanders,,armani rogers,placed on ir with achilles injury,,,,7/25/2023,
2023,Giants,,elerson smith,placed on ir with illness,,,,7/26/2023,
2023,Packers,,jeff cotton,placed on ir with undisclosed injury,,,,7/27/2023,
2023,Panthers,,marquez stevenson,placed on ir with undisclosed injury,,,,7/27/2023,
2023,Raiders,,jordan perryman,placed on ir with undisclosed injury,,,,7/28/2023,
2023,Bills,,cameron dantzler,placed on ir with undisclosed injury,,,,7/29/2023,
2023,Lions,,tom kennedy b 1996-07-29,placed on ir with arm / torso injury,,,,7/29/2023,
2023,Texans,,dylan deatherage,placed on ir with undisclosed injury,,,,7/29/2023,
2023,Giants,,vernon butler,placed on ir with undisclosed injury,,,,7/29/2023,
2023,Bengals,,devin cochran,placed on ir with left knee injury,,,,7/30/2023,
2023,Browns,,thakarius keyes  ty keyes  bopete keyes,placed on ir with finger injury,,,,7/30/2023,
2023,Chiefs,,nazeeh johnson,placed on ir with knee injury,,,,7/30/2023,
2023,Chiefs,,isaiah moore,placed on ir with knee injury,,,,7/31/2023,
2023,Saints,,trai turner,placed on ir with torn quadriceps,,,,7/31/2023,
2023,Giants,,jc hassenauer,placed on ir with triceps injury,,,,8/1/2023,
2023,Texans,,troy hairston,placed on ir with back injury,,,,8/1/2023,
2023,Broncos,,tim patrick,placed on ir with torn right achilles tendon,,,,8/2/2023,
2023,Lions,,shane zylstra,placed on ir with knee injury,,,,8/2/2023,
2023,Saints,,andrew dowell,placed on ir with knee injury,,,,8/2/2023,
2023,Steelers,,cory trice jr,placed on ir with right leg injury,,,,8/2/2023,
2023,49ers,,terrance mitchell,placed on ir with undisclosed injury,,,,8/3/2023,
2023,Broncos,,jonas griffith,placed on ir with torn acl in left knee,,,,8/3/2023,
2023,Commanders,,david bada,placed on ir with torn triceps,,,,8/3/2023,
2023,Dolphins,,bennett williams,placed on ir with undisclosed injury,,,,8/3/2023,
2023,Falcons,,ethan greenidge,placed on ir with leg injury,,,,8/3/2023,
2023,Raiders,,austin walter,placed on ir with undisclosed injury,,,,8/3/2023,
2023,Saints,,scott lashley,placed on ir with undisclosed injury,,,,8/3/2023,
2023,Steelers,,alfonzo graham,placed on ir with undisclosed injury,,,,8/3/2023,
2023,49ers,,darryl johnson jr,placed on ir with undisclosed,,,,8/4/2023,
2023,Falcons,,chris blair,placed on ir with undisclosed injury,,,,8/4/2023,
2023,Falcons,,feleipe franks,placed on ir with undisclosed injury,,,,8/4/2023,
2023,Falcons,,ikenna enechukwu,placed on ir with undisclosed injury,,,,8/4/2023,
2023,Giants,,jeff smith alan,placed on ir with knee injury,,,,8/4/2023,
2023,Patriots,,terez hall,placed on ir with undisclosed injury,,,,8/4/2023,
2023,Texans,,scott quessenberry,"placed on ir with with torn acl, mcl in left knee",,,,8/4/2023,
2023,Browns,,daylen baldwin,placed on ir with hamstring injury,,,,8/5/2023,
2023,Browns,,thomas graham jr,placed on ir with ankle injury,,,,8/5/2023,
2023,Colts,,ethan fernea,placed on ir with undisclosed injury,,,,8/5/2023,
2023,Colts,,jake witt,placed on ir with hip injury,,,,8/5/2023,
2023,Dolphins,,john lovett b 1996-04-25,placed on ir with undisclosed injury,,,,8/5/2023,
2023,Lions,,jarren williams,placed on ir with undisclosed injury,,,,8/5/2023,
2023,Bears,,chase allen b 1997-07-09,placed on ir with undisclosed injury,,,,8/6/2023,
2023,Broncos,,yasir durant,placed on ir with undisclosed injury,,,,8/6/2023,
2023,Saints,,eno benjamin,placed on ir with torn achilles tendon,,,,8/6/2023,
2023,Texans,,dj scaife jr,placed on ir with right leg injury,,,,8/6/2023,
2023,Vikings,,james lynch,placed on ir with torn acl in knee,,,,8/6/2023,
2023,Bengals,,devonnsha maxwell,placed on ir with right knee injury,,,,8/7/2023,
2023,Commanders,,troy apke,placed on ir with shoulder injury,,,,8/7/2023,
2023,Eagles,,charleston rambo,placed on ir with undisclosed injury,,,,8/7/2023,
2023,Jets,,hamsah nasirildeen,placed on ir with neck injury,,,,8/7/2023,
2023,Jets,,maalik hall,placed on ir with undisclosed injury,,,,8/7/2023,
2023,Texans,,greg little,placed on ir with undisclosed injury,,,,8/7/2023,
2023,Commanders,,curtis brooks,placed on ir with undisclosed injury,,,,8/8/2023,
2023,Jets,,chris streveler,placed on ir with thumb injury,,,,8/8/2023,
2023,Texans,,jesse matthews,placed on ir with torn acl in knee,,,,8/8/2023,
2023,Bears,,jake tonges,placed on ir with undisclosed injury,,,,8/9/2023,
2023,Cardinals,,marlon mack,placed on ir with torn left achilles tendon,,,,8/9/2023,
2023,Jets,,yodny cajuste,placed on ir with undisclosed injury,,,,8/9/2023,
2023,Panthers,,jalen redmond,placed on ir with undisclosed injury,,,,8/9/2023,
2023,Seahawks,,andrew whitaker,placed on ir with undisclosed injury,,,,8/9/2023,
2023,Steelers,,ja'marcus bradley,placed on ir with undisclosed injury,,,,8/9/2023,
2023,Chargers,,nicolas melsop  nicholas melsop  nic melsop,placed on ir with undisclosed injury,,,,8/10/2023,
2023,Saints,,koda martin,placed on ir,,,,8/10/2023,
2023,Seahawks,,joshua onujiogu  josh onujiogu,placed on ir with undisclosed injury,,,,8/10/2023,
2023,49ers,,anthony averett,placed on ir with undisclosed injury,,,,8/11/2023,
2023,Colts,,la'michael pettway,placed on ir with undisclosed injury,,,,8/11/2023,
2023,Colts,,michael tutsie,placed on ir with undisclosed injury,,,,8/11/2023,
2023,49ers,,daelin hayes,placed on ir with undisclosed injury,,,,8/13/2023,
2023,Browns,,bubba bolden,placed on ir with hamstring injury,,,,8/13/2023,
2023,Browns,,jacob phillips,placed on ir with torn pectoral muscle,,,,8/13/2023,
2023,Raiders,,dj turner b 1997-01-18,placed on ir with undisclosed injury,,,,8/13/2023,
2023,Raiders,,darius harris,placed on ir with undisclosed injury,,,,8/13/2023,
2023,Cardinals,,rashad fenton,placed on ir with undisclosed injury,,,,8/14/2023,
2023,Dolphins,,freddie swain,placed on ir with hamstring injury,,,,8/14/2023,
2023,Dolphins,,mark gilbert,placed on ir with undisclosed injury,,,,8/14/2023,
2023,Eagles,,shaun bradley,placed on ir with torn right achilles tendon,,,,8/14/2023,
2023,Jaguars,,henry mondeaux,placed on ir with undisclosed injury,,,,8/14/2023,
2023,Jets,,ifeadi odenigbo,placed on ir with undisclosed injury,,,,8/14/2023,
2023,Steelers,,chapelle russell,placed on ir with knee injury,,,,8/14/2023,
2023,Steelers,,duke dawson,placed on ir with left knee injury,,,,8/14/2023,
2023,Titans,,shakel brown,placed on ir with ankle injury,,,,8/14/2023,
2023,Chiefs,,jody fortson jr  joe fortson,placed on ir with shoulder injury,,,,8/15/2023,
2023,Falcons,,adetokunbo ogundeji  ade ogundeji,placed on ir with foot injury,,,,8/15/2023,
2023,Falcons,,frank darby,placed on ir,,,,8/15/2023,
2023,Lions,,trey quinn,placed on ir,,,,8/15/2023,
2023,Raiders,,brandon parker,placed on ir with triceps injury,,,,8/15/2023,
2023,Vikings,,william kwenkeu,placed on ir with undisclosed injury,,,,8/15/2023,
2023,Broncos,,elliott fry,placed on ir with undisclosed injury,,,,8/16/2023,
2023,Chiefs,,anthony witherstone,placed on ir with toe injury,,,,8/16/2023,
2023,Falcons,,matt hennessy,placed on ir with knee/leg injury,,,,8/16/2023,
2023,Giants,,devery hamilton,placed on ir with calf injury,,,,8/16/2023,
2023,Panthers,,damiere byrd,placed on ir with hamstring injury,,,,8/16/2023,
2023,Broncos,,forrest merrill,placed on ir with undisclosed injury,,,,8/17/2023,
2023,Chargers,,kemon hall,placed on ir with undisclosed injury,,,,8/17/2023,
2023,Colts,,ashton dulin,placed on ir with torn acl in knee,,,,8/17/2023,
2023,Giants,,troy brown a,placed on ir with undisclosed injury,,,,8/17/2023,
2023,Jets,,javelin guidry jr,placed on ir with undisclosed injury,,,,8/17/2023,
2023,Bears,,buddy johnson,placed on ir with undisclosed injury,,,,8/18/2023,
2023,Colts,,genard avery,placed on ir with surgery on knee,,,,8/18/2023,
2023,Colts,,malik turner,placed on ir with undisclosed injury,,,,8/18/2023,
2023,Seahawks,,ra'shaun henry,placed on ir with undisclosed injury,,,,8/18/2023,
2023,49ers,,taco charlton,placed on ir with hamstring injury,,,,8/19/2023,
2023,Lions,,denzel mims,placed on ir with undisclosed injury,,,,8/19/2023,
2023,Ravens,,jordan swann,placed on ir,,,,8/19/2023,
2023,Buccaneers,,russell gage,placed on ir with torn patellar tendon in right knee,,,,8/20/2023,
2023,Eagles,,noah elliss,placed on ir with undisclosed injury,,,,8/20/2023,
2023,Eagles,,tyrie cleveland,"placed on ir with concussion, neck injury",,,,8/20/2023,
2023,Eagles,,zech mcphearson,placed on ir with torn right achilles tendon,,,,8/20/2023,
2023,Bears,,adrian colbert,placed on ir with undisclosed injury,,,,8/21/2023,
2023,Bills,,shane ray,placed on ir with hamstring injury,,,,8/21/2023,
2023,Lions,,mohamed ibrahim,placed on ir with undisclosed injury,,,,8/21/2023,
2023,Packers,,tyler davis,placed on ir with torn acl in right knee,,,,8/21/2023,
2023,Bears,,jared pinkney,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Broncos,,jalen virgil,placed on ir with torn meniscus in right knee,,,,8/22/2023,
2023,Dolphins,,tino ellis,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Raiders,,darien butler,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Steelers,,cody white b 1998-11-28,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Steelers,,hakeem butler,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Texans,,alex bachman,placed on ir with undisclosed injury,,,,8/22/2023,
2023,Cardinals,,lachavious simmons,placed on ir with undisclosed injury,,,,8/23/2023,
2023,Chargers,,andrew trainer,placed on ir with undisclosed injury,,,,8/23/2023,
2023,Packers,,jake hanson,placed on ir with undisclosed injury,,,,8/23/2023,
2023,Patriots,,tre nixon,placed on ir with undisclosed injury,,,,8/23/2023,
2023,Texans,,kilian zierer,placed on ir with ankle injury,,,,8/24/2023,
2023,Texans,,tyree gillespie,placed on ir with undisclosed injury,,,,8/24/2023,
2023,Bears,,dante pettis,placed on ir with undisclosed injury,,,,8/25/2023,
2023,Dolphins,,myles dorn,placed on ir with undisclosed injury,,,,8/25/2023,
2023,Eagles,,roderick johnson,placed on ir with undisclosed injury,,,,8/26/2023,
2023,Browns,,jakeem grant,placed on ir with torn patellar tendon in right knee,,,,8/27/2023,
2023,Buccaneers,,ryan jensen,placed on ir with left knee injury,,,,8/27/2023,
2023,Giants,,bryce ford-wheaton,placed on ir with torn acl in knee,,,,8/27/2023,
2023,Raiders,,brittain brown,placed on ir with undisclosed injury,,,,8/27/2023,
2023,Raiders,,isaiah zuber,placed on ir with undisclosed injury,,,,8/27/2023,
2023,Raiders,,jacob hollister,placed on ir with undisclosed injury,,,,8/27/2023,
2023,Cardinals,,pat elflein,placed on ir with hip injury,,,,8/28/2023,
2023,Commanders,,braeden daniels,placed on ir with shoulder injury,,,,8/28/2023,
2023,Giants,,chris myarick,placed on ir with hand injury,,,,8/28/2023,
2023,Jets,,jimmy moreland,placed on ir with hand injury,,,,8/28/2023,
2023,Titans,,hassan haskins,placed on ir with upper body injury,,,,8/28/2023,
2023,49ers,,aj parker,placed on ir with hamstring injury,,,,8/29/2023,
2023,49ers,,cameron latu,placed on ir with torn meniscus in knee,,,,8/29/2023,
2023,49ers,,tayler hawkins,placed on ir with fractured hand,,,,8/29/2023,
2023,49ers,,zane gonzalez,placed on ir with calf injury,,,,8/29/2023,
2023,Bears,,isaiah ford,placed on ir with undisclosed,,,,8/29/2023,
2023,Bengals,,marvell tell iii,placed on ir with concussion,,,,8/29/2023,
2023,Bengals,,tautala pesefea jr,placed on ir with elbow injury,,,,8/29/2023,
2023,Bills,,matt barkley,placed on ir with elbow injury,,,,8/29/2023,
2023,Cardinals,,jon gaines ii,placed on ir with knee injury,,,,8/29/2023,
2023,Colts,,danny pinter,placed on ir with fractured left ankle,,,,8/29/2023,
2023,Colts,,jojo domann,placed on ir with undisclosed,,,,8/29/2023,
2023,Colts,,ricky seals-jones,placed on ir with undisclosed,,,,8/29/2023,
2023,Colts,,titus leo,placed on ir with undisclosed,,,,8/29/2023,
2023,Commanders,,brandon dillon,placed on ir with undisclosed,,,,8/29/2023,
2023,Commanders,,jonathan williams b 1994-02-02,placed on ir with undisclosed,,,,8/29/2023,
2023,Commanders,,kaden smith,placed on ir with undisclosed,,,,8/29/2023,
2023,Commanders,,kyric mcgowan,placed on ir with undisclosed,,,,8/29/2023,
2023,Cowboys,,david durden,placed on ir with torn acl in left knee,,,,8/29/2023,
2023,Cowboys,,demarvion overshown,placed on ir with torn acl in left knee,,,,8/29/2023,
2023,Cowboys,,john stephens jr,placed on ir with torn acl in left knee,,,,8/29/2023,
2023,Cowboys,,josh ball,placed on ir with groin/hip injury,,,,8/29/2023,
2023,Dolphins,,eric saubert,placed on ir with undisclosed,,,,8/29/2023,
2023,Dolphins,,keion crossen,placed on ir with shoulder injury,,,,8/29/2023,
2023,Falcons,,cornell armstrong,placed on ir with undisclosed,,,,8/29/2023,
2023,Falcons,,penny hart,placed on ir with undisclosed,,,,8/29/2023,
2023,Jaguars,,josh wells,placed on ir with abdominal injury,,,,8/29/2023,
2023,Jaguars,,ventrell miller,placed on ir with torn right achilles tendon (out for season),,,,8/29/2023,
2023,Lions,,nate sudfeld,placed on ir with torn acl in left knee,,,,8/29/2023,
2023,Packers,,tarvarius moore,placed on ir with with knee injury,,,,8/29/2023,
2023,Panthers,,henry anderson wyatt,placed on ir with foot injury,,,,8/29/2023,
2023,Patriots,,conor mcdermott,placed on ir with undisclosed,,,,8/29/2023,
2023,Patriots,,isaiah bolden,placed on ir with concussion,,,,8/29/2023,
2023,Raiders,,dalton wagner,placed on ir with undisclosed,,,,8/29/2023,
2023,Texans,,kenyon green,placed on ir with shoulder injury,,,,8/29/2023,
2023,Bears,,gabe houy,placed on ir with leg injury,,,,8/30/2023,
2023,Bears,,joe reed,placed on ir with undisclosed,,,,8/30/2023,
2023,Bears,,trestan ebner,placed on ir with concussion,,,,8/30/2023,
2023,Broncos,,christopher allen,placed on ir with groin injury,,,,8/30/2023,
2023,Browns,,anthony schwartz,placed on ir with hamstring injury,,,,8/30/2023,
2023,Buccaneers,,dominique dafney,placed on ir with undisclosed,,,,8/30/2023,
2023,Buccaneers,,don gardner  donnie gardner,placed on ir with undisclosed,,,,8/30/2023,
2023,Buccaneers,,kedrick whitehead,placed on ir with undisclosed,,,,8/30/2023,
2023,Cardinals,,kyler mcmichael,placed on ir with undisclosed,,,,8/30/2023,
2023,Chargers,,amechi uzodinma ii,placed on ir with undisclosed,,,,8/30/2023,
2023,Chargers,,blake lynch,placed on ir with undisclosed,,,,8/30/2023,
2023,Chargers,,darrius shepherd,placed on ir with undisclosed,,,,8/30/2023,
2023,Chargers,,milton wright,placed on ir with undisclosed,,,,8/30/2023,
2023,Chiefs,,jerome carvin,placed on ir with undisclosed,,,,8/30/2023,
2023,Chiefs,,nikko remigio,placed on ir with undisclosed,,,,8/30/2023,
2023,Chiefs,,olakunle fatukasi,placed on ir with undisclosed,,,,8/30/2023,
2023,Eagles,,trey sermon,placed on ir with undisclosed,,,,8/30/2023,
2023,Giants,,jack anderson b,placed on ir with undisclosed,,,,8/30/2023,
2023,Giants,,wyatt davis,placed on ir with undisclosed,,,,8/30/2023,
2023,Giants,,zyon gilbert,placed on ir with undisclosed,,,,8/30/2023,
2023,Jaguars,,jaray jenkins,placed on ir with surgery on foot,,,,8/30/2023,
2023,Lions,,jermar jefferson,placed on ir,,,,8/30/2023,
2023,Packers,,broughton hatcher  br hatcher,placed on ir with undisclosed,,,,8/30/2023,
2023,Packers,,lew nichols iii,placed on ir with shoulder injury,,,,8/30/2023,
2023,Packers,,tyler goodson,placed on ir with shoulder injury,,,,8/30/2023,
2023,Panthers,,mac mccain iii,placed on ir with undisclosed,,,,8/30/2023,
2023,Patriots,,diego fagot,placed on ir with undisclosed,,,,8/30/2023,
2023,Raiders,,chris lacy b 1996-01-28,placed on ir with undisclosed,,,,8/30/2023,
2023,Rams,,deandre square,placed on ir with undisclosed,,,,8/30/2023,
2023,Rams,,rashad torrence ii,placed on ir with undisclosed,,,,8/30/2023,
2023,Rams,,ryan smenda jr,placed on ir with undisclosed,,,,8/30/2023,
2023,Seahawks,,joey blount,placed on ir with undisclosed,,,,8/30/2023,
2023,Seahawks,,vi jones b 1998-05-05,placed on ir with undisclosed,,,,8/30/2023,
2023,Texans,,keaton sutherland,placed on ir with undisclosed,,,,8/30/2023,
2023,Texans,,roy lopez,placed on ir with hamstring injury,,,,8/30/2023,
2023,Titans,,alize mack,placed on ir with undisclosed,,,,8/30/2023,
2023,Titans,,tyler shelvin,placed on ir with undisclosed,,,,8/30/2023,
2023,Vikings,,abraham beauplan,placed on ir with undisclosed,,,,8/30/2023,
2023,Vikings,,tay gowan,placed on ir with undisclosed,,,,8/30/2023,
2023,Chargers,,matt kaskey,placed on ir with undisclosed,,,,8/30/2023,
2023,Seahawks,,jonathan sutherland,placed on ir with undisclosed,,,,8/30/2023,
2023,Titans,,jonathan ward,placed on ir with undisclosed,,,,8/30/2023,
2023,Titans,,josh thompson b 1998-10-20,placed on ir with undisclosed,,,,8/30/2023,
2023,49ers,,danny gray,placed on ir with sprained shoulder,,,,8/31/2023,
2023,49ers,,robert beal jr,placed on ir with hamstring injury,,,,8/31/2023,
2023,Bears,,doug kramer,placed on ir with undisclosed injury,,,,8/31/2023,
2023,Bears,,teven jenkins,placed on ir with leg injury,,,,8/31/2023,
2023,Bills,,baylon spector,placed on ir with hamstring injury,,,,8/31/2023,
2023,Bills,,justin shorter,placed on ir with hamstring injury,,,,8/31/2023,
2023,Broncos,,alex palczewski,placed on ir with hand injury,,,,8/31/2023,
2023,Broncos,,k'waun williams,placed on ir with surgery on left ankle,,,,8/31/2023,
2023,Broncos,,pj locke,placed on ir with leg injury,,,,8/31/2023,
2023,Browns,,jordan kunaszyk,placed on ir with torn mcl in knee,,,,8/31/2023,
2023,Cardinals,,dennis daley,placed on ir with ankle injury,,,,8/31/2023,
2023,Cardinals,,myjai sanders,placed on ir with hand injury,,,,8/31/2023,
2023,Colts,,jelani woods,placed on ir with hamstring injury,,,,8/31/2023,
2023,Commanders,,efe obada,placed on ir with undisclosed injury,,,,8/31/2023,
2023,Commanders,,phidarian mathis,placed on ir with calf injury,,,,8/31/2023,
2023,Cowboys,,matt waletzko,placed on ir with shoulder injury,,,,8/31/2023,
2023,Cowboys,,nahshon wright,placed on ir with high ankle sprain,,,,8/31/2023,
2023,Dolphins,,jalen ramsey,placed on ir recovering from surgery on left knee to repair torn meniscus,,,,8/31/2023,
2023,Dolphins,,jeff wilson jr,placed on ir with various injuries,,,,8/31/2023,
2023,Dolphins,,robert jones e,placed on ir with sprained mcl in knee,,,,8/31/2023,
2023,Jaguars,,cooper hodges,placed on ir with patellar tendon injury in knee,,,,8/31/2023,
2023,Jaguars,,davon hamilton,placed on ir with back injury,,,,8/31/2023,
2023,Jets,,carter warren,placed on ir with torn meniscus in knee,,,,8/31/2023,
2023,Jets,,kenny yeboah,placed on ir with hamstring injury,,,,8/31/2023,
2023,Lions,,julian okwara,placed on ir with undisclosed injury,,,,8/31/2023,
2023,Packers,,luke tenuta,placed on ir with ankle injury,,,,8/31/2023,
2023,Panthers,,stephen sullivan,placed on ir with hip injury,,,,8/31/2023,
2023,Patriots,,tyquan thornton,placed on ir with shoulder injury,,,,8/31/2023,
2023,Ravens,,damarion williams,placed on ir with ankle injury,,,,8/31/2023,
2023,Ravens,,keaton mitchell,placed on ir with shoulder injury,,,,8/31/2023,
2023,Ravens,,malik hamm,placed on ir with undisclosed injury,,,,8/31/2023,
