Season,Team,Acquired,Relinquished,Notes,,,,Date
2010,Raiders,,• Charlie Frye,placed on ir,,,,9/4/2010
2010,Raiders,,• Jonathan Holland,placed on ir,,,,9/4/2010
2010,Rams,,• Chris Hovan,placed on ir,,,,9/4/2010
2010,Rams,,• Eric Young,placed on ir with knee injury,,,,9/4/2010
2010,Rams,,• Kevin Payne,placed on ir with knee injury,,,,9/4/2010
2010,Rams,,• Phil Trautwein,placed on ir,,,,9/4/2010
2010,Ravens,,• Daniel Sanders,placed on ir,,,,9/4/2010
2010,Ravens,,• David Hale,placed on ir with back injury,,,,9/4/2010
2010,Ravens,,• Domonique Foxworth,placed on ir,,,,9/4/2010
2010,Ravens,,• Kelly Talavou,placed on ir with knee injury,,,,9/4/2010
2010,Ravens,,• Marcus Paschal,placed on ir,,,,9/4/2010
2010,Ravens,,• Ramon Harewood,placed on ir with knee injury,,,,9/4/2010
2010,Ravens,,• Stefan Rodgers,placed on ir with ankle injury,,,,9/4/2010
2010,Redskins,,• Mike Furrey,placed on ir,,,,9/4/2010
2010,Saints,,• Jonathan Casillas,placed on ir with foot injury,,,,9/4/2010
2010,Saints,,• Lynell Hamilton,placed on ir,,,,9/4/2010
2010,Saints,,• Marcus Mailei,placed on ir,,,,9/4/2010
2010,Saints,,• P.J. Hill,placed on ir,,,,9/4/2010
2010,Seahawks,,• Anthony Heygood,placed on ir,,,,9/4/2010
2010,Seahawks,,• Isaiah Stanback,placed on ir,,,,9/4/2010
2010,Seahawks,,• Jameson Konz,placed on ir,,,,9/4/2010
2010,Seahawks,,• Ray Willis,placed on ir with knee injury,,,,9/4/2010
2010,Steelers,,• Limas Sweed,placed on ir,,,,9/4/2010
2010,Steelers,,• Tuff Harris,placed on ir,,,,9/4/2010
2010,Steelers,,• Willie Colon,placed on ir,,,,9/4/2010
2010,Texans,,• Andre' Davis / Andre Davis (a),placed on ir with hip/tailbone injury,,,,9/4/2010
2010,Texans,,• Darnell Bing,placed on ir,,,,9/4/2010
2010,Texans,,• Justin Griffith,placed on ir,,,,9/4/2010
