player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
curtis samuel,curtis samuel,2024,curtis samuel,2017,100.0
curtis samuel,curtis samuel,2024,curtis samuel,2021,100.0
evan engram,evan engram,2024,evan engram,2019,100.0
noah brown,noah brown,2024,noah brown,2018,100.0
noah brown,noah brown,2024,noah brown,2021,100.0
noah brown,noah brown,2024,noah brown,2023,100.0
michael pittman,michael pittman,2024,michael pittman,2020,100.0
christian kirk,christian kirk,2024,christian kirk,2018,100.0
christian kirk,christian kirk,2024,christian kirk,2023,100.0
mike evans,mike evans,2024,mike evans,2019,100.0
parker washington,parker washington,2024,parker washington,2023,100.0
jameson williams,jameson williams,2024,jameson williams,2022,100.0
keenan allen,keenan allen,2024,keenan allen,2015,100.0
keenan allen,keenan allen,2024,keenan allen,2016,100.0
darnell mooney,darnell mooney,2024,darnell mooney,2022,100.0
tyler boyd,tyler boyd,2024,tyler boyd,2018,100.0
calvin austin iii,calvin austin,2024,calvin austin,2022,100.0
adam thielen,adam thielen,2024,adam thielen,2021,100.0
tyler lockett,tyler lockett,2024,tyler lockett,2016,100.0
chris godwin,chris godwin,2024,chris godwin,2020,100.0
chris godwin,chris godwin,2024,chris godwin,2021,100.0
david njoku,david njoku,2024,david njoku,2019,100.0
david njoku,david njoku,2024,david njoku,2020,100.0
jonnu smith,jonnu smith,2024,jonnu smith,2018,100.0
zach ertz,zach ertz,2024,zach ertz,2020,100.0
zach ertz,zach ertz,2024,zach ertz,2022,100.0
zach ertz,zach ertz,2024,zach ertz,2023,100.0
brandin cooks,brandin cooks,2024,brandin cooks,2014,100.0
brian thomas jr.,brian thomas,2024,brian thomas,2013,100.0
elijah moore,elijah moore,2024,elijah moore,2021,100.0
tj hockenson,tj hockenson,2024,tj hockenson,2019,100.0
tj hockenson,tj hockenson,2024,tj hockenson,2021,100.0
tj hockenson,tj hockenson,2024,tj hockenson,2023,100.0
travis kelce,travis kelce,2024,travis kelce,2013,100.0
