player_season_name,season_ps,ir_name,season_ir,fuzzy_score
juwan johnson,2022,justin johnson,2019,81.48148148
mike williams,2022,james williams,2010,81.48148148
mike williams,2022,mario williams,2010,81.48148148
mike williams,2022,james williams,2011,81.48148148
mike williams,2022,mario williams,2011,81.48148148
mike williams,2022,eddie williams,2012,81.48148148
mike williams,2022,keith williams,2013,81.48148148
mike williams,2022,kyren williams,2022,81.48148148
mike williams,2022,kyren williams,2023,81.48148148
brandin cooks,2023,brandon brooks,2019,81.48148148
brandin cooks,2023,brandon brooks,2021,81.48148148
brandin cooks,2023,brandin echols,2021,81.48148148
brandin cooks,2023,brandin echols,2022,81.48148148
juwan johnson,2023,justin johnson,2019,81.48148148
brandin cooks,2024,brandon brooks,2019,81.48148148
brandin cooks,2024,brandon brooks,2021,81.48148148
brandin cooks,2024,brandin echols,2021,81.48148148
brandin cooks,2024,brandin echols,2022,81.48148148
juwan johnson,2024,justin johnson,2019,81.48148148
keon coleman,2024,coleman shelton,2022,81.48148148
tyler lockett,2018,tyler ott,2022,81.81818182
ian thomas,2018,kevin thomas,2010,81.81818182
ian thomas,2018,bryan thomas,2011,81.81818182
ian thomas,2018,logan thomas,2021,81.81818182
ian thomas,2018,logan thomas,2021,81.81818182
john brown,2018,jordan brown,2022,81.81818182
david moore,2018,devin moore,2010,81.81818182
bisi johnson,2019,bj johnson,2017,81.81818182
tyler lockett,2019,tyler ott,2022,81.81818182
jonnu smith,2019,jason smith,2011,81.81818182
jonnu smith,2019,djoun smith,2015,81.81818182
jonnu smith,2019,djoun smith,2015,81.81818182
jonnu smith,2019,djoun smith,2016,81.81818182
john brown,2019,jordan brown,2022,81.81818182
david moore,2020,devin moore,2010,81.81818182
tyler lockett,2020,tyler ott,2022,81.81818182
logan thomas,2020,ian thomas,2023,81.81818182
logan thomas,2020,ian thomas,2024,81.81818182
jonnu smith,2020,jason smith,2011,81.81818182
jonnu smith,2020,djoun smith,2015,81.81818182
jonnu smith,2020,djoun smith,2015,81.81818182
jonnu smith,2020,djoun smith,2016,81.81818182
john brown,2020,jordan brown,2022,81.81818182
tyler lockett,2021,tyler ott,2022,81.81818182
jonnu smith,2021,jason smith,2011,81.81818182
jonnu smith,2021,djoun smith,2015,81.81818182
jonnu smith,2021,djoun smith,2015,81.81818182
jonnu smith,2021,djoun smith,2016,81.81818182
josh palmer,2021,josh walker,2016,81.81818182
josh palmer,2021,josh walker,2018,81.81818182
tyler lockett,2022,tyler ott,2022,81.81818182
josh palmer,2022,josh walker,2016,81.81818182
josh palmer,2022,josh walker,2018,81.81818182
chris moore,2022,chris okoye,2018,81.81818182
chris moore,2022,chris okoye,2021,81.81818182
logan thomas,2022,ian thomas,2023,81.81818182
logan thomas,2022,ian thomas,2024,81.81818182
josh palmer,2023,josh walker,2016,81.81818182
josh palmer,2023,josh walker,2018,81.81818182
tyler lockett,2023,tyler ott,2022,81.81818182
jonnu smith,2023,jason smith,2011,81.81818182
jonnu smith,2023,djoun smith,2015,81.81818182
jonnu smith,2023,djoun smith,2015,81.81818182
jonnu smith,2023,djoun smith,2016,81.81818182
logan thomas,2023,ian thomas,2023,81.81818182
logan thomas,2023,ian thomas,2024,81.81818182
josh palmer,2024,josh walker,2016,81.81818182
josh palmer,2024,josh walker,2018,81.81818182
tyler lockett,2024,tyler ott,2022,81.81818182
jonnu smith,2024,jason smith,2011,81.81818182
jonnu smith,2024,djoun smith,2015,81.81818182
jonnu smith,2024,djoun smith,2015,81.81818182
jonnu smith,2024,djoun smith,2016,81.81818182
david moore,2024,devin moore,2010,81.81818182
dj moore,2018,dan moore,2013,82.35294118
james washington,2019,charles washington,2018,82.35294118
james washington,2019,charles washington,2021,82.35294118
james washington,2019,charles washington,2022,82.35294118
dj moore,2019,dan moore,2013,82.35294118
dj moore,2020,dan moore,2013,82.35294118
james washington,2020,charles washington,2018,82.35294118
james washington,2020,charles washington,2021,82.35294118
james washington,2020,charles washington,2022,82.35294118
dj moore,2021,dan moore,2013,82.35294118
dj moore,2022,dan moore,2013,82.35294118
christian watson,2022,christian thompson,2012,82.35294118
christian watson,2023,christian thompson,2012,82.35294118
dj moore,2023,dan moore,2013,82.35294118
dj moore,2024,dan moore,2013,82.35294118
christian watson,2024,christian thompson,2012,82.35294118
robby anderson,2018,rodney anderson,2019,82.75862069
tyrell williams,2018,trent williams,2017,82.75862069
tyrell williams,2018,trent williams,2020,82.75862069
tyrell williams,2018,kyren williams,2022,82.75862069
tyrell williams,2018,kyren williams,2023,82.75862069
tyrell williams,2018,trent williams,2024,82.75862069
chad williams,2018,michael williams,2013,82.75862069
chad williams,2018,michael williams,2016,82.75862069
mike williams,2018,michael williams,2013,82.75862069
mike williams,2018,michael williams,2016,82.75862069
mike williams,2019,michael williams,2013,82.75862069
mike williams,2019,michael williams,2016,82.75862069
tyrell williams,2019,trent williams,2017,82.75862069
tyrell williams,2019,trent williams,2020,82.75862069
tyrell williams,2019,kyren williams,2022,82.75862069
tyrell williams,2019,kyren williams,2023,82.75862069
tyrell williams,2019,trent williams,2024,82.75862069
darius slayton,2019,adarius glanton,2017,82.75862069
preston williams,2019,leon williams,2010,82.75862069
robby anderson,2019,rodney anderson,2019,82.75862069
robby anderson,2020,rodney anderson,2019,82.75862069
mike williams,2020,michael williams,2013,82.75862069
mike williams,2020,michael williams,2016,82.75862069
darius slayton,2020,adarius glanton,2017,82.75862069
robby anderson,2021,rodney anderson,2019,82.75862069
darius slayton,2021,adarius glanton,2017,82.75862069
mike williams,2021,michael williams,2013,82.75862069
mike williams,2021,michael williams,2016,82.75862069
darius slayton,2022,adarius glanton,2017,82.75862069
mike williams,2022,michael williams,2013,82.75862069
mike williams,2022,michael williams,2016,82.75862069
darius slayton,2023,adarius glanton,2017,82.75862069
jonathan mingo,2023,jonathan kongbo,2020,82.75862069
quentin johnston,2023,quinn johnson,2013,82.75862069
jameson williams,2024,leon williams,2010,82.75862069
quentin johnston,2024,quinn johnson,2013,82.75862069
