player_season_name,season,ir_name,fuzzy_score
desean jackson,2018,deon jackson,84.61538462
desean jackson,2018,dane jackson,84.61538462
adam humphries,2018,dj humphries,84.61538462
allen robinson,2018,lee robinson,84.61538462
jordan akins,2019,jordan jenkins,84.61538462
adam humphries,2019,dj humphries,84.61538462
allen robinson,2019,lee robinson,84.61538462
allen robinson,2020,lee robinson,84.61538462
jordan akins,2020,jordan jenkins,84.61538462
allen robinson,2021,lee robinson,84.61538462
adam humphries,2021,dj humphries,84.61538462
jordan akins,2022,jordan jenkins,84.61538462
allen robinson,2022,lee robinson,84.61538462
allen robinson,2023,lee robinson,84.61538462
jordan akins,2024,jordan jenkins,84.61538462
anthony miller,2018,anthony miller b --,84.84848485
michael thomas,2018,michael thomas b --,84.84848485
michael thomas,2018,michael thomas b --,84.84848485
michael thomas,2018,michael thomas b --,84.84848485
michael thomas,2018,michael thomas b --,84.84848485
anthony miller,2019,anthony miller b --,84.84848485
michael thomas,2019,michael thomas b --,84.84848485
michael thomas,2019,michael thomas b --,84.84848485
michael thomas,2019,michael thomas b --,84.84848485
michael thomas,2019,michael thomas b --,84.84848485
anthony miller,2020,anthony miller b --,84.84848485
michael thomas,2020,michael thomas b --,84.84848485
michael thomas,2020,michael thomas b --,84.84848485
michael thomas,2020,michael thomas b --,84.84848485
michael thomas,2020,michael thomas b --,84.84848485
michael thomas,2023,michael thomas b --,84.84848485
michael thomas,2023,michael thomas b --,84.84848485
michael thomas,2023,michael thomas b --,84.84848485
michael thomas,2023,michael thomas b --,84.84848485
maurice harris,2018,marcell harris,85.71428571
corey davis,2018,cody davis,85.71428571
jordy nelson,2018,jr nelson,85.71428571
john brown,2018,jamon brown,85.71428571
john brown,2018,jaron brown,85.71428571
john brown,2018,jayon brown,85.71428571
tyrell williams,2018,trey williams,85.71428571
allen robinson,2018,alton robinson,85.71428571
chad williams,2018,chavis williams,85.71428571
mike williams,2018,madieu williams,85.71428571
mike williams,2018,damien williams,85.71428571
josh gordon,2018,josh gordy,85.71428571
corey davis,2019,cody davis,85.71428571
josh gordon,2019,josh gordy,85.71428571
irv smith,2019,irv smith jr,85.71428571
mike williams,2019,madieu williams,85.71428571
mike williams,2019,damien williams,85.71428571
