player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
brandin cooks,brandin cooks,2021,brandin cooks,2014,100.0,1
chris godwin,chris godwin,2021,chris godwin,2020,100.0,1
tyler boyd,tyler boyd,2021,tyler boyd,2018,100.0,1
michael pittman,michael pittman,2021,michael pittman,2020,100.0,1
cj uzomah,cj uzomah,2021,cj uzomah,2020,100.0,1
cedrick wilson,cedrick wilson,2021,cedrick wilson,2018,100.0,2
cedrick wilson,cedrick wilson,2021,cedrick wilson,2019,100.0,2
evan engram,evan engram,2021,evan engram,2019,100.0,1
odell beckham,odell beckham,2021,odell beckham,2017,100.0,2
odell beckham,odell beckham,2021,odell beckham,2020,100.0,2
darren waller,darren waller,2021,darren waller,2015,100.0,1
robert woods,robert woods,2021,robert woods,2015,100.0,1
tj hockenson,tj hockenson,2021,tj hockenson,2019,100.0,1
marvin jones,marvin jones,2021,marvin jones,2014,100.0,3
marvin jones,marvin jones,2021,marvin jones,2018,100.0,3
marvin jones,marvin jones,2021,marvin jones,2019,100.0,3
aj green,aj green,2021,aj green,2016,100.0,3
aj green,aj green,2021,aj green,2018,100.0,3
aj green,aj green,2021,aj green,2019,100.0,3
dallas goedert,dallas goedert,2021,dallas goedert,2020,100.0,1
tim patrick,tim patrick,2021,tim patrick,2019,100.0,1
zach ertz,zach ertz,2021,zach ertz,2020,100.0,1
christian kirk,christian kirk,2021,christian kirk,2018,100.0,1
quez watkins,quez watkins,2021,quez watkins,2020,100.0,1
keenan allen,keenan allen,2021,keenan allen,2015,100.0,2
keenan allen,keenan allen,2021,keenan allen,2016,100.0,2
jared cook,jared cook,2021,jared cook,2012,100.0,1
calvin ridley,calvin ridley,2021,calvin ridley,2019,100.0,1
sammy watkins,sammy watkins,2021,sammy watkins,2016,100.0,1
dan arnold,dan arnold,2021,dan arnold,2017,100.0,1
george kittle,george kittle,2021,george kittle,2020,100.0,1
marquez callaway,marquez callaway,2021,marquez callaway,2020,100.0,1
allen lazard,allen lazard,2021,allen lazard,2020,100.0,1
hunter henry,hunter henry,2021,hunter henry,2017,100.0,1
emmanuel sanders,emmanuel sanders,2021,emmanuel sanders,2018,100.0,1
travis kelce,travis kelce,2021,travis kelce,2013,100.0,1
julio jones,julio jones,2021,julio jones,2013,100.0,1
jonnu smith,jonnu smith,2021,jonnu smith,2018,100.0,1
byron pringle,byron pringle,2021,byron pringle,2018,100.0,2
byron pringle,byron pringle,2021,byron pringle,2020,100.0,2
mo alie-cox,mo alie-cox,2021,mo alie-cox,2017,100.0,1
mike williams,mike williams,2021,mike williams,2011,100.0,3
mike williams,mike williams,2021,mike williams,2013,100.0,3
mike williams,mike williams,2021,mike williams,2014,100.0,3
courtland sutton,courtland sutton,2021,courtland sutton,2020,100.0,1
mike evans,mike evans,2021,mike evans,2019,100.0,1
rob gronkowski,rob gronkowski,2021,rob gronkowski,2012,100.0,3
rob gronkowski,rob gronkowski,2021,rob gronkowski,2013,100.0,3
rob gronkowski,rob gronkowski,2021,rob gronkowski,2016,100.0,3
david njoku,david njoku,2021,david njoku,2019,100.0,2
david njoku,david njoku,2021,david njoku,2020,100.0,2
tyler lockett,tyler lockett,2022,tyler lockett,2016,100.0,1
quez watkins,quez watkins,2022,quez watkins,2020,100.0,1
brandin cooks,brandin cooks,2022,brandin cooks,2014,100.0,1
evan engram,evan engram,2022,evan engram,2019,100.0,1
robert woods,robert woods,2022,robert woods,2015,100.0,2
robert woods,robert woods,2022,robert woods,2021,100.0,2
deandre hopkins,deandre hopkins,2022,deandre hopkins,2021,100.0,1
noah brown,noah brown,2022,noah brown,2018,100.0,2
noah brown,noah brown,2022,noah brown,2021,100.0,2
curtis samuel,curtis samuel,2022,curtis samuel,2017,100.0,2
curtis samuel,curtis samuel,2022,curtis samuel,2021,100.0,2
