player_season_name,season,ir_name,fuzzy_score
deonte harris,2021,dejon harris,88.0
darnell mooney,2021,darnell mooney,100.0
allen robinson,2021,lee robinson,84.61538461538461
allen robinson,2021,laurent robinson,80.0
allen robinson,2021,allen robinson ii,90.32258064516128
allen robinson,2021,alton robinson,85.71428571428572
robby anderson,2021,rodney anderson,82.75862068965517
robby anderson,2021,troy andersen,81.4814814814815
jalen guyton,2021,jalen guyton,100.0
tyler lockett,2021,tyler lockett,100.0
tyler lockett,2021,tyler ott,81.81818181818181
rashod bateman,2021,rashod bateman,100.0
cameron brate,2021,cameron bradfield,80.0
cameron brate,2021,cameron brate,100.0
cameron brate,2021,cameron batson,81.4814814814815
mecole hardman,2021,mecole hardman,100.0
kalif raymond,2021,raymond calais,81.4814814814815
kalif raymond,2021,kalif raymond,100.0
darius slayton,2021,adarius glanton,82.75862068965517
corey davis,2021,cody davis,85.71428571428572
adam humphries,2021,dj humphries,84.61538461538461
adam humphries,2021,adam humphries,100.0
deebo samuel,2021,deebo samuel,100.0
jalen reagor,2021,jalen reagor,100.0
laviska shenault,2021,laviska shenault jr,91.42857142857143
braxton berrios,2021,braxton berrios,100.0
tre'quan smith,2021,trequan smith,96.2962962962963
hunter renfrow,2021,hunter renfrow,100.0
cooper kupp,2021,cooper kupp,100.0
ricky seals-jones,2021,ricky seals-jones,100.0
olamide zaccheaus,2021,olamide zaccheaus,100.0
kendrick bourne,2021,kendrick bourne,100.0
jerry jeudy,2021,jerry jeudy,100.0
jamison crowder,2021,jamison crowder,100.0
brandin cooks,2021,brandin cooks,100.0
brandin cooks,2021,brandon brooks,81.4814814814815
brandin cooks,2021,brandin echols,81.4814814814815
mark andrews,2021,mark andrews,100.0
mark andrews,2021,jake andrews,83.33333333333334
chris godwin,2021,chris godwin,100.0
tyler boyd,2021,tyler boyd,100.0
michael pittman,2021,michael pittman jr,90.9090909090909
c.j. uzomah,2021,cj uzomah,90.0
ceedee lamb,2021,ceedee lamb,100.0
evan engram,2021,evan engram,100.0
odell beckham,2021,odell beckham jr,89.65517241379311
darren waller,2021,darren waller,100.0
t.j. hockenson,2021,tj hockenson,92.3076923076923
marvin jones,2021,marvin jones jr,88.88888888888889
jarvis landry,2021,jarvis landry,100.0
a.j. brown,2021,aj brown,88.88888888888889
van jefferson,2021,tony jefferson,81.4814814814815
van jefferson,2021,van jefferson,100.0
russell gage,2021,russell gage,100.0
adam thielen,2021,adam thielen,100.0
dallas goedert,2021,dallas goedert,100.0
tim patrick,2021,tim patrick,100.0
zach ertz,2021,zach ertz,100.0
christian kirk,2021,christian kirksey,90.32258064516128
christian kirk,2021,christian kirk davon,82.35294117647058
quez watkins,2021,quez watkins,100.0
keenan allen,2021,keenan allen,100.0
tyler higbee,2021,tyler higbee,100.0
marquez valdes-scantling,2021,marquez valdes-scantling,100.0
jared cook,2021,jared cook,100.0
calvin ridley,2021,calvin ridley,100.0
tyler johnson,2021,tyrell johnson,81.4814814814815
tyler johnson,2021,tyler johnstone,92.85714285714286
tyler johnson,2021,trey johnson,80.0
tyler johnson,2021,toby johnson,80.0
tyler johnson,2021,lane johnson,80.0
tyler johnson,2021,theo johnson,80.0
kyle pitts,2021,kyle pitts,100.0
sammy watkins,2021,sammy watkins,100.0
josh reynolds,2021,josh reynolds,100.0
elijah moore,2021,elijah moore,100.0
elijah moore,2021,elijah molden,80.0
dan arnold,2021,dan arnold,100.0
george kittle,2021,george kittle,100.0
marquez callaway,2021,marquez callaway,100.0
allen lazard,2021,allen lazard,100.0
hunter henry,2021,hunter henry,100.0
emmanuel sanders,2021,daniel sanders,80.0
emmanuel sanders,2021,emmanuel sanders,100.0
justin jefferson,2021,tony jefferson,80.0
justin jefferson,2021,justin jefferson,100.0
travis kelce,2021,travis kelce,100.0
brandon aiyuk,2021,brandon bair,80.0
brandon aiyuk,2021,brandon aiyuk,100.0
ray-ray mccloud,2021,ray-ray mccloud,100.0
julio jones,2021,julio jones,100.0
pat freiermuth,2021,pat freiermuth,100.0
jonnu smith,2021,jason smith,81.81818181818181
jonnu smith,2021,djoun smith,81.81818181818181
jonnu smith,2021,jonnu smith,100.0
byron pringle,2021,byron pringle,100.0
deandre hopkins,2021,deandre thompkins,93.75
deandre hopkins,2021,deandre hopkins,100.0
nico collins,2021,nick collins,91.66666666666666
nico collins,2021,nico collins,100.0
michael gallup,2021,michael gallup,100.0
dawson knox,2021,dawson knox,100.0
mo alie-cox,2021,mo alie-cox,100.0
mike williams,2021,mario williams,81.4814814814815
mike williams,2021,madieu williams,85.71428571428572
mike williams,2021,mike williams troy,83.87096774193549
mike williams,2021,eddie williams,81.4814814814815
mike williams,2021,mike willie,83.33333333333334
mike williams,2021,kyren williams,81.4814814814815
mike williams,2021,damien williams,85.71428571428572
mike williams,2021,mike williams k,92.85714285714286
josh palmer,2021,josh walker,81.81818181818181
devante parker,2021,devante parker,100.0
courtland sutton,2021,courtland sutton,100.0
chase claypool,2021,chase claypool,100.0
bryan edwards,2021,dwan edwards,80.0
bryan edwards,2021,braylon edwards,85.71428571428572
bryan edwards,2021,ben edwards,83.33333333333334
stefon diggs,2021,trevon diggs,83.33333333333334
stefon diggs,2021,stefon diggs,100.0
ja'marr chase,2021,jamar chaney,80.0
mike evans,2021,mike evans lynn,80.0
rob gronkowski,2021,rob gronkowski,100.0
david njoku,2021,david njoku,100.0
diontae johnson,2021,dontae johnson,96.55172413793103
diontae johnson,2021,diontae johnson,100.0
diontae johnson,2021,dyontae johnson,93.33333333333333
tyler lockett,2022,tyler lockett,100.0
tyler lockett,2022,tyler ott,81.81818181818181
rondale moore,2022,rondale moore,100.0
ben skowronek,2022,ben skowronek,100.0
chris olave,2022,chris olave,100.0
devin duvernay,2022,devin duvernay,100.0
treylon burks,2022,treylon burks,100.0
kalif raymond,2022,raymond calais,81.4814814814815
kalif raymond,2022,kalif raymond,100.0
quez watkins,2022,quez watkins,100.0
kyle pitts,2022,kyle pitts,100.0
demarcus robinson,2022,denard robinson,81.25
demarcus robinson,2022,darius robinson,87.5
brandin cooks,2022,brandin cooks,100.0
brandin cooks,2022,brandon brooks,81.4814814814815
brandin cooks,2022,brandin echols,81.4814814814815
russell gage,2022,russell gage,100.0
evan engram,2022,evan engram,100.0
kendrick bourne,2022,kendrick bourne,100.0
josh reynolds,2022,josh reynolds,100.0
deandre hopkins,2022,deandre thompkins,93.75
deandre hopkins,2022,deandre hopkins,100.0
deandre carter,2022,dewayne carter,85.71428571428572
deandre carter,2022,deandre carter,100.0
marquise brown,2022,marquise goodwin,80.0
