Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2023,Commanders,,chris rodriguez jr,placed on ir with ankle injury,,,,12/28/2023,,chris rodriguez jr
2023,Commanders,,christopher rodriguez jr,placed on ir,,,,12/28/2023,,christopher rodriguez jr
2023,Cardinals,,jonathan ledbetter,placed on ir with knee injury,,,,12/29/2023,,jonathan ledbetter
2023,Cardinals,,marquise brown,placed on ir with heel injury,,,,12/29/2023,,marquise brown
2023,Commanders,,percy butler,placed on ir with wrist injury,,,,12/30/2023,,percy butler
2023,Commanders,,tyler larsen,placed on ir with knee injury,,,,12/30/2023,,tyler larsen
2023,Eagles,,albert okwuegbunam,placed on ir with hamstring injury,,,,12/30/2023,,albert okwuegbunam
2023,Giants,,lawrence cager,placed on ir with groin injury,,,,12/30/2023,,lawrence cager
2023,Packers,,eric stokes jamane,placed on ir with hamstring injury,,,,12/30/2023,,eric stokes jamane
2023,Patriots,,juju smith-schuster,placed on ir with ankle injury,,,,12/30/2023,,juju smith-schuster
2023,Ravens,,jalyn armour-davis,placed on ir with concussion,,,,12/30/2023,,jalyn armour-davis
2023,Saints,,ryan ramczyk,placed on ir with knee injury,,,,12/30/2023,,ryan ramczyk
2023,Seahawks,,dwayne eskridge  dee eskridge,placed on ir with rib injury,,,,12/30/2023,,dwayne eskridge dee eskridge
2023,Seahawks,,jamal adams,placed on ir with knee injury,,,,12/30/2023,,jamal adams
2023,Titans,,josh whyle,placed on ir with knee injury,,,,12/30/2023,,josh whyle
2023,Vikings,,troy dye,placed on ir with wrist injury,,,,12/30/2023,,troy dye
2023,Washington,,charles leno jr,placed on ir with calf injury,,,,12/30/2023,,charles leno jr
2023,Packers,,samori toure,placed on ir with knee injury,,,,1/1/2024,,samori toure
2023,Giants,,tyre phillips,placed on ir with torn right quadriceps,,,,1/2/2024,,tyre phillips
2023,Panthers,,jonathan mingo,placed on ir with foot injury,,,,1/2/2024,,jonathan mingo
2023,Rams,,shaun jolly,placed on ir with undisclosed injury,,,,1/2/2024,,shaun jolly
2023,Cowboys,,deuce vaughn,placed on ir with ankle injury,,,,1/3/2024,,deuce vaughn
2023,Broncos,,delarrin turner-yell,placed on ir with torn acl in knee,,,,1/4/2024,,delarrin turner-yell
2023,Browns,,anthony walker jr,placed on ir with knee injury,,,,1/5/2024,,anthony walker jr
2023,Cardinals,,dj humphries,placed on ir with torn acl in knee,,,,1/5/2024,,dj humphries
2023,Cardinals,,dante stills,placed on ir with knee injury,,,,1/5/2024,,dante stills
2023,Commanders,,christian holmes,placed on ir with concussion,,,,1/5/2024,,christian holmes
2023,Commanders,,kendall fuller,placed on ir with knee injury,,,,1/5/2024,,kendall fuller
2023,Commanders,,tariq castro-fields,placed on ir with shoulder injury,,,,1/5/2024,,tariq castro-fields
2023,Ravens,,daryl worley,placed on ir with shoulder injury,,,,1/5/2024,,daryl worley
2023,Saints,,nephi sewell,placed on ir with surgery on knee to repair torn acl (out for season),,,,1/5/2024,,nephi sewell
