Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2018,Texans,,kayvon webster,placed on ir with quadriceps injury,,,,12/24/2018,,kayvon webster
2018,Titans,,cole wick,placed on ir with shoulder injury,,,,12/24/2018,,cole wick
2018,Titans,,jurrell casey,placed on ir with knee injury,,,,12/24/2018,,jurrell casey
2018,Cardinals,,korey cunningham,placed on ir with foot injury,,,,12/25/2018,,korey cunningham
2018,Packers,,kenny clark duane,placed on ir with elbow injury,,,,12/25/2018,,kenny clark duane
2018,Panthers,,taylor heinicke,placed on ir with left elbow injury,,,,12/26/2018,,taylor heinicke
2018,Jets,,eric tomlinson,placed on ir with foot injury,,,,12/27/2018,,eric tomlinson
2018,Redskins,,colt mccoy,placed on ir with fractured fibula in right leg,,,,12/27/2018,,colt mccoy
2018,Redskins,,jordan reed,"placed on ir with ankle, foot injury",,,,12/27/2018,,jordan reed
2018,Bengals,,dre kirkpatrick,placed on ir with shoulder injury,,,,12/28/2018,,dre kirkpatrick
2018,Bengals,,jordan evans,placed on ir with ankle injury,,,,12/28/2018,,jordan evans
2018,Bengals,,tyler boyd,placed on ir with knee injury,,,,12/28/2018,,tyler boyd
2018,Broncos,,andre holmes,placed on ir with ankle injury,,,,12/28/2018,,andre holmes
2018,Broncos,,phillip lindsay,placed on ir with surgery on wrist,,,,12/28/2018,,phillip lindsay
2018,Browns,,tanner vallejo,placed on ir with hamstring injury,,,,12/28/2018,,tanner vallejo
2018,Jaguars,,josh lambo,placed on ir with right groin injury,,,,12/28/2018,,josh lambo
2018,Jaguars,,josh wells,placed on ir with concussion,,,,12/28/2018,,josh wells
2018,Lions,,ashawn robinson,placed on ir with knee injury,,,,12/28/2018,,ashawn robinson
2018,Panthers,,kenjon barner,placed on ir with knee injury,,,,12/28/2018,,kenjon barner
2018,Redskins,,maurice harris,placed on ir with concussion,,,,12/28/2018,,maurice harris
2018,Steelers,,chris boswell,placed on ir with lower body injury,,,,12/28/2018,,chris boswell
2018,49ers,,dante pettis,placed on ir with knee injury,,,,12/29/2018,,dante pettis
2018,49ers,,matt breida,placed on ir with ankle injury,,,,12/29/2018,,matt breida
2018,Giants,,jawill davis,placed on ir with knee injury,,,,12/29/2018,,jawill davis
2018,Jets,,kevin pierre-louis,placed on ir with shoulder injury,,,,12/29/2018,,kevin pierre-louis
2018,Jets,,morris claiborne,placed on ir with shoulder injury,,,,12/29/2018,,morris claiborne
2018,Jets,,quincy enunwa,placed on ir with ankle injury,,,,12/29/2018,,quincy enunwa
2018,Lions,,deshawn shead,placed on ir with knee injury,,,,12/29/2018,,deshawn shead
2018,Seahawks,,delano hill,placed on ir with hip injury,,,,1/1/2019,,delano hill
2018,Texans,,mike tyson,placed on ir with knee injury / concussion,,,,1/2/2019,,mike tyson
2018,Chargers,,jatavis brown,placed on ir with ankle injury,,,,1/7/2019,,jatavis brown
2018,Cowboys,,allen hurns,placed on ir with left ankle injury,,,,1/8/2019,,allen hurns
2018,Patriots,,jacob hollister,placed on ir with hamstring injury,,,,1/8/2019,,jacob hollister
2018,Colts,,mike mitchell bryant edward,placed on ir with calf injury,,,,1/9/2019,,mike mitchell bryant edward
2018,Saints,,simmie cobbs jr,placed on ir with knee injury,,,,1/12/2019,,simmie cobbs jr
2018,Saints,,sheldon rankins,placed on ir with torn left achilles tendon,,,,1/16/2019,,sheldon rankins
2019,Raiders,,isaiah crowell,placed on ir with torn achilles tendon,,,,5/3/2019,,isaiah crowell
2019,Giants,,nate harvey,placed on ir with knee injury,,,,5/5/2019,,nate harvey
2019,Chiefs,,jamire jordan,placed on ir with undisclosed injury,,,,5/8/2019,,jamire jordan
2019,Texans,,duke ejiofor,placed on ir with torn achilles tendon,,,,5/10/2019,,duke ejiofor
2019,Jets,,charles tapper,placed on ir with undisclosed injury,,,,5/13/2019,,charles tapper
2019,Broncos,,nico falah,placed on ir with achilles injury,,,,5/14/2019,,nico falah
2019,Buccaneers,,isaiah searight,placed on ir with hamstring injury,,,,5/14/2019,,isaiah searight
2019,Dolphins,,connor hilland,placed on ir with undisclosed injury,,,,5/14/2019,,connor hilland
2019,Dolphins,,rob rolle,placed on ir with undisclosed injury,,,,5/14/2019,,rob rolle
2019,Falcons,,jeremy langford,placed on ir with undisclosed injury,,,,5/14/2019,,jeremy langford
2019,Jaguars,,cody brown,placed on ir with undisclosed injury,,,,5/14/2019,,cody brown
2019,Jaguars,,roderick young,placed on ir with undisclosed injury,,,,5/14/2019,,roderick young
2019,Titans,,hamp cheevers,placed on ir with undisclosed injury,,,,5/14/2019,,hamp cheevers
2019,Giants,,jacob thieneman,placed on ir with knee injury,,,,5/15/2019,,jacob thieneman
2019,Dolphins,,ricardo louis,placed on ir with knee injury / neck injury,,,,5/16/2019,,ricardo louis
2019,Bears,,jomon dotson,placed on ir with undisclosed injury,,,,5/17/2019,,jomon dotson
2019,Dolphins,,isaac asiata,placed on ir with undisclosed injury,,,,5/17/2019,,isaac asiata
2019,Redskins,,reuben foster,placed on ir with torn acl in left knee,,,,5/22/2019,,reuben foster
2019,Falcons,,steven means,placed on ir with torn achilles tendon,,,,5/23/2019,,steven means
2019,Raiders,,ryan yurachek,placed on ir with knee injury,,,,5/30/2019,,ryan yurachek
2019,Seahawks,,adam choice,placed on ir with undisclosed injury,,,,5/30/2019,,adam choice
2019,Chargers,,trevion thompson,placed on ir with undisclosed injury,,,,6/4/2019,,trevion thompson
2019,Colts,,javon patterson,placed on ir with torn acl in knee,,,,6/4/2019,,javon patterson
2019,Giants,,jeremiah harris,placed on ir with undisclosed injury,,,,6/5/2019,,jeremiah harris
2019,Panthers,,mose frazier,placed on ir with fractured arm,,,,6/5/2019,,mose frazier
2019,Colts,,iseoluwapo jegede  jegs jegede,placed on ir with undisclosed injury,,,,6/10/2019,,iseoluwapo jegede jegs jegede
2019,Chargers,,koda martin,placed on ir with undisclosed injury,,,,7/1/2019,,koda martin
2019,Jaguars,,dredrick snelson,placed on ir with undisclosed injury,,,,7/12/2019,,dredrick snelson
2019,Bills,,jeremiah sirles,placed on ir with fractured foot,,,,7/23/2019,,jeremiah sirles
2019,Falcons,,jj wilcox,placed on ir with torn acl in knee,,,,7/24/2019,,jj wilcox
2019,Buccaneers,,jalen allison,placed on ir with undisclosed injury,,,,7/25/2019,,jalen allison
2019,Buccaneers,,xavier ubosi,placed on ir with undisclosed injury,,,,7/25/2019,,xavier ubosi
2019,49ers,,erik magnuson,placed on ir with calf injury,,,,7/26/2019,,erik magnuson
2019,Falcons,,benjamin michael bennett,placed on ir with fractured ankle,,,,7/26/2019,,benjamin michael bennett
2019,Giants,,corey coleman,placed on ir with torn acl in knee,,,,7/26/2019,,corey coleman
2019,Saints,,kenny bigelow jr,placed on ir with undisclosed injury,,,,7/26/2019,,kenny bigelow jr
2019,Seahawks,,emmanuel ellerbee,placed on ir with undisclosed injury,,,,7/26/2019,,emmanuel ellerbee
2019,Texans,,isaac whitney,placed on ir with wrist injury,,,,7/28/2019,,isaac whitney
2019,Browns,,lo falemaka,placed on ir with shoulder injury,,,,7/29/2019,,lo falemaka
2019,Buccaneers,,troy niklas,placed on ir with leg injury,,,,7/29/2019,,troy niklas
2019,Chargers,,dylan cantrell,placed on ir with shoulder injury,,,,7/29/2019,,dylan cantrell
2019,Chargers,,fred trevillion,placed on ir with hamstring injury,,,,7/29/2019,,fred trevillion
2019,Saints,,javorius allen  buck allen,placed on ir with undisclosed injury,,,,7/30/2019,,javorius allen buck allen
2019,Saints,,christian campbell  chris campbell 1995-11-27,placed on ir with undisclosed injury,,,,7/31/2019,,christian campbell chris campbell --
2019,Titans,,cameron batson,placed on ir with undisclosed injury,,,,7/31/2019,,cameron batson
2019,Buccaneers,,orion stewart,placed on ir with torn acl in knee,,,,8/1/2019,,orion stewart
2019,Packers,,javien hamilton,placed on ir with hamstring injury,,,,8/1/2019,,javien hamilton
2019,Redskins,,casey dunn,placed on ir with undisclosed injury,,,,8/1/2019,,casey dunn
2019,Cowboys,,andrew dowell,placed on ir with hamstring injury,,,,8/2/2019,,andrew dowell
2019,Jaguars,,michael colubiale,placed on ir with concussion,,,,8/2/2019,,michael colubiale
2019,Jaguars,,taj mcgowan,placed on ir with knee injury,,,,8/2/2019,,taj mcgowan
2019,Panthers,,brandon chubb,placed on ir with knee injury,,,,8/2/2019,,brandon chubb
2019,Panthers,,dorian johnson,placed on ir with undisclosed injury,,,,8/2/2019,,dorian johnson
2019,Steelers,,herb waters,placed on ir with undisclosed injury,,,,8/2/2019,,herb waters
2019,49ers,,kapron lewis-moore,placed on ir with groin injury,,,,8/3/2019,,kapron lewis-moore
2019,Broncos,,billy winn,placed on ir with triceps injury,,,,8/3/2019,,billy winn
2019,Browns,,blake jackson b 1994-03-07,placed on ir with knee injury,,,,8/3/2019,,blake jackson b --
2019,Chargers,,cole toner,placed on ir with undisclosed injury,,,,8/3/2019,,cole toner
2019,Chargers,,trevon johnson,placed on ir with undisclosed injury,,,,8/3/2019,,trevon johnson
2019,Giants,,mark mclaurin,placed on ir with fractured foot,,,,8/3/2019,,mark mclaurin
2019,Bears,,josh simmons,placed on ir with undisclosed injury,,,,8/4/2019,,josh simmons
2019,Colts,,billy brown b 1993-03-20,placed on ir with undisclosed injury,,,,8/4/2019,,billy brown b --
2019,Giants,,alex jenkins,placed on ir with calf injury,,,,8/4/2019,,alex jenkins
2019,Jets,,temuchin hodges  bucky hodges,placed on ir with hamstring injury,,,,8/4/2019,,temuchin hodges bucky hodges
2019,Saints,,rob kelley,placed on ir with undisclosed injury,,,,8/4/2019,,rob kelley
2019,Seahawks,,justin johnson,placed on ir with achilles injury,,,,8/4/2019,,justin johnson
2019,Seahawks,,tyrone swoopes,placed on ir with leg injury,,,,8/4/2019,,tyrone swoopes
2019,Jets,,jeremy clark b 1994-06-29,placed on ir with hamstring injury,,,,8/5/2019,,jeremy clark b --
2019,Jets,,tyler jones b 1995-10-27,placed on ir with calf injury,,,,8/5/2019,,tyler jones b --
2019,Bills,,laadrian waddle,placed on ir with torn quadriceps,,,,8/6/2019,,laadrian waddle
2019,Eagles,,joe ostman,placed on ir with torn acl in knee,,,,8/6/2019,,joe ostman
2019,Falcons,,kurt benkert,placed on ir with toe injury,,,,8/6/2019,,kurt benkert
2019,Colts,,steve ishmael,placed on ir with knee injury,,,,8/7/2019,,steve ishmael
2019,Eagles,,casey tucker,placed on ir with concussion,,,,8/7/2019,,casey tucker
2019,Lions,,tarvarus mcfadden,placed on ir with undisclosed injury,,,,8/7/2019,,tarvarus mcfadden
2019,Packers,,jason spriggs,placed on ir with back injury,,,,8/7/2019,,jason spriggs
2019,Steelers,,derrek thomas,placed on ir with undisclosed injury,,,,8/7/2019,,derrek thomas
2019,Buccaneers,,michael liedtke  mike liedtke,placed on ir with shoulder injury,,,,8/7/2019,,michael liedtke mike liedtke
2019,Bengals,,niles scott,placed on ir with foot injury,,,,8/8/2019,,niles scott
2019,Buccaneers,,dcota dixon,placed on ir with undisclosed injury,,,,8/8/2019,,dcota dixon
2019,Cardinals,,vincent valentine,placed on ir with undisclosed injury,,,,8/8/2019,,vincent valentine
2019,Chiefs,,keith reaser,placed on ir with torn achilles tendon,,,,8/8/2019,,keith reaser
2019,Cowboys,,derrick puni,placed on ir with undisclosed injury,,,,8/9/2019,,derrick puni
2019,Cowboys,,lance lenoir,placed on ir with knee injury,,,,8/9/2019,,lance lenoir
2019,Packers,,kendall donnerson,placed on ir with hamstring injury,,,,8/9/2019,,kendall donnerson
2019,Saints,,matt dayes,placed on ir with undisclosed injury,,,,8/9/2019,,matt dayes
2019,Seahawks,,davante davis,placed on ir with undisclosed injury,,,,8/9/2019,,davante davis
2019,Steelers,,ralph webb,placed on ir with undisclosed injury,,,,8/9/2019,,ralph webb
2019,Bills,,ej gaines,placed on ir with groin injury,,,,8/10/2019,,ej gaines
2019,Bills,,robert thomas ii,placed on ir with knee injury,,,,8/10/2019,,robert thomas ii
2019,Broncos,,austin fort,placed on ir with torn acl in knee,,,,8/10/2019,,austin fort
2019,Chiefs,,david wells,placed on ir with undisclosed injury,,,,8/10/2019,,david wells
2019,Jaguars,,james onwualu,placed on ir with knee injury,,,,8/10/2019,,james onwualu
2019,Jaguars,,marcus simms,placed on ir with concussion,,,,8/10/2019,,marcus simms
2019,Lions,,darius kilgo,placed on ir with leg injury,,,,8/10/2019,,darius kilgo
2019,Lions,,jermaine kearse,placed on ir with fractured left leg,,,,8/10/2019,,jermaine kearse
2019,Panthers,,dillon gordon,placed on ir with shoulder injury,,,,8/10/2019,,dillon gordon
2019,Saints,,ulrick john,placed on ir with undisclosed injury,,,,8/10/2019,,ulrick john
2019,Texans,,ira savage-lewis  ira lewis,placed on ir with concussion,,,,8/10/2019,,ira savage-lewis ira lewis
2019,Titans,,dandre walker,placed on ir with undisclosed injury,,,,8/10/2019,,dandre walker
2019,Buccaneers,,bryant mitchell,placed on ir with torn left achilles tendon,,,,8/11/2019,,bryant mitchell
2019,Jaguars,,roc thomas,placed on ir with undisclosed injury,,,,8/11/2019,,roc thomas
2019,Raiders,,dj killings,placed on ir with torn pectoral muscle,,,,8/11/2019,,dj killings
2019,Texans,,chris landrum,placed on ir with undisclosed injury,,,,8/11/2019,,chris landrum
2019,Titans,,cody conway,placed on ir with undisclosed injury,,,,8/11/2019,,cody conway
2019,Titans,,riley bullough,placed on ir with elbow injury,,,,8/11/2019,,riley bullough
2019,49ers,,shon coleman,"placed on ir with fractured right fibula, dislocated right ankle",,,,8/12/2019,,shon coleman
2019,Lions,,tre lamar,placed on ir with undisclosed injury,,,,8/12/2019,,tre lamar
2019,Redskins,,josh woodrum,placed on ir with torn pectoral muscle,,,,8/12/2019,,josh woodrum
2019,Dolphins,,jonathan woodard,placed on ir with undisclosed injury,,,,8/13/2019,,jonathan woodard
2019,Eagles,,shelton gibson,placed on ir with ankle injury,,,,8/13/2019,,shelton gibson
2019,Giants,,amba etta-tawo,placed on ir with torn achilles tendon,,,,8/13/2019,,amba etta-tawo
2019,Patriots,,dangelo ross,placed on ir with undisclosed injury,,,,8/13/2019,,dangelo ross
2019,Titans,,jordan williams cornell,placed on ir with undisclosed injury,,,,8/13/2019,,jordan williams cornell
2019,Chargers,,andrew vollert,placed on ir with torn acl in knee,,,,8/14/2019,,andrew vollert
2019,Giants,,isaiah searight,placed on ir with hamstring injury,,,,8/14/2019,,isaiah searight
2019,49ers,,greg mabin,placed on ir with calf injury,,,,8/17/2019,,greg mabin
2019,Jets,,avery williamson,placed on ir with torn acl in right knee,,,,8/17/2019,,avery williamson
2019,Texans,,jermaine kelly,placed on ir with quadriceps injury,,,,8/17/2019,,jermaine kelly
2019,Redskins,,myles humphrey,placed on ir with knee injury,,,,8/18/2019,,myles humphrey
2019,Colts,,donta foreman,placed on ir with torn biceps,,,,8/19/2019,,donta foreman
2019,Colts,,daurice fountain,placed on ir with fractured ankle,,,,8/19/2019,,daurice fountain
2019,Panthers,,jonathan celestin,placed on ir with undisclosed injury,,,,8/19/2019,,jonathan celestin
2019,Panthers,,norman price,placed on ir with left leg injury,,,,8/19/2019,,norman price
2019,Bills,,garrett mcghin,placed on ir with ankle injury,,,,8/20/2019,,garrett mcghin
2019,Buccaneers,,shane bowman,placed on ir with ankle injury,,,,8/20/2019,,shane bowman
2019,Chiefs,,marcus kemp,"placed on ir with torn acl, mcl in knee",,,,8/20/2019,,marcus kemp
2019,Seahawks,,demetrius knox,placed on ir with knee/quadriceps injury,,,,8/20/2019,,demetrius knox
2019,Titans,,nigel harris,placed on ir with undisclosed injury,,,,8/20/2019,,nigel harris
2019,Broncos,,horace richardson,placed on ir with back injury,,,,8/21/2019,,horace richardson
2019,Broncos,,johnathan howard  bug howard,placed on ir with hand injury,,,,8/21/2019,,johnathan howard bug howard
2019,Browns,,dj montgomery,placed on ir with hamstring injury,,,,8/21/2019,,dj montgomery
2019,Chiefs,,davon grayson,placed on ir with knee injury,,,,8/21/2019,,davon grayson
2019,Dolphins,,saeed blacknall,placed on ir with undisclosed injury,,,,8/21/2019,,saeed blacknall
2019,Saints,,chris clark,placed on ir with right leg injury,,,,8/21/2019,,chris clark
2019,49ers,,shawn poindexter,placed on ir with torn acl in knee,,,,8/22/2019,,shawn poindexter
2019,Broncos,,aaron wallace b,placed on ir with hamstring injury,,,,8/23/2019,,aaron wallace b
2019,Steelers,,lavon hooks,placed on ir with achilles injury,,,,8/23/2019,,lavon hooks
2019,Cardinals,,hakeem butler,placed on ir with hand injury,,,,8/25/2019,,hakeem butler
2019,Cardinals,,josh shaw james,placed on ir with shoulder injury,,,,8/25/2019,,josh shaw james
2019,Patriots,,brandon king b 1993-06-08,placed on ir with torn quadriceps,,,,8/25/2019,,brandon king b --
2019,Raiders,,doug martin matthewbaran,placed on ir with shoulder injury,,,,8/25/2019,,doug martin matthewbaran
2019,49ers,,tim harris jr,placed on ir with groin injury,,,,8/26/2019,,tim harris jr
2019,Buccaneers,,kahzin daniels,placed on ir with knee injury,,,,8/26/2019,,kahzin daniels
2019,Patriots,,keionta davis,placed on ir with undisclosed injury,,,,8/26/2019,,keionta davis
2019,Patriots,,maurice harris,placed on ir with lower leg injury,,,,8/26/2019,,maurice harris
2019,Saints,,garrett griffin,placed on ir with undisclosed injury,,,,8/26/2019,,garrett griffin
2019,Texans,,david steinmetz,placed on ir with fractured ankle,,,,8/26/2019,,david steinmetz
2019,Texans,,lamar miller,"placed on ir with torn acl, mcl in knee",,,,8/26/2019,,lamar miller
2019,Chiefs,,john lovett b 1996-04-25,placed on ir with separated right shoulder,,,,8/27/2019,,john lovett b --
2019,Packers,,mike tyson,placed on ir with undisclosed injury,,,,8/27/2019,,mike tyson
2019,Seahawks,,kalan reed,placed on ir with neck injury,,,,8/27/2019,,kalan reed
2019,Seahawks,,nazair jones,placed on ir with knee injury,,,,8/27/2019,,nazair jones
2019,Bears,,tj clemmings,placed on ir with quadriceps injury,,,,8/28/2019,,tj clemmings
2019,Bills,,mike love b 1994-01-22,placed on ir with pectoral injury,,,,8/28/2019,,mike love b --
2019,Dolphins,,chase allen b 1993-08-29,placed on ir with undisclosed injury,,,,8/28/2019,,chase allen b --
2019,Eagles,,charles johnson david b 1989-02-27,placed on ir with ankle injury,,,,8/28/2019,,charles johnson david b --
2019,Panthers,,destiny vaeao,placed on ir with quadriceps injury,,,,8/28/2019,,destiny vaeao
2019,Steelers,,brian allen b 1993-10-10,placed on ir with ankle injury,,,,8/28/2019,,brian allen b --
2019,Titans,,josh smith a,placed on ir with undisclosed injury,,,,8/29/2019,,josh smith a
2019,Eagles,,richard rodgers christopher,placed on ir with foot injury,,,,8/30/2019,,richard rodgers christopher
2019,Jets,,brandon bryant,placed on ir with concussion,,,,8/30/2019,,brandon bryant
2019,Panthers,,graham gano,placed on ir with left knee injury,,,,8/30/2019,,graham gano
2019,Panthers,,kitt obrien,placed on ir with undisclosed injury,,,,8/30/2019,,kitt obrien
2019,Saints,,colton jumper,placed on ir with undisclosed injury,,,,8/30/2019,,colton jumper
2019,Saints,,josh martin,placed on ir with shoulder injury,,,,8/30/2019,,josh martin
2019,Saints,,will compton,placed on ir with ankle injury,,,,8/30/2019,,will compton
2019,49ers,,jerick mckinnon,placed on ir with knee injury,,,,8/31/2019,,jerick mckinnon
2019,49ers,,nick williams b 1990-11-23,placed on ir with undisclosed injury,,,,8/31/2019,,nick williams b --
2019,Bears,,blake blackmar,placed on ir with ankle injury,,,,8/31/2019,,blake blackmar
2019,Bears,,dax raymond,placed on ir with head injury,,,,8/31/2019,,dax raymond
2019,Bengals,,jeff driskel,placed on ir with hamstring injury,,,,8/31/2019,,jeff driskel
2019,Bengals,,rodney anderson,placed on ir with torn acl in knee,,,,8/31/2019,,rodney anderson
2019,Bills,,senorise perry,placed on ir with quadriceps injury,,,,8/31/2019,,senorise perry
2019,Bills,,vosean joseph,placed on ir with shoulder injury,,,,8/31/2019,,vosean joseph
2019,Broncos,,drew lock,placed on ir with thumb injury,,,,8/31/2019,,drew lock
2019,Browns,,phillip gaines,placed on ir with concussion,,,,8/31/2019,,phillip gaines
2019,Chiefs,,breeland speaks,placed on ir with knee injury,,,,8/31/2019,,breeland speaks
2019,Chiefs,,gehrig dieter,placed on ir with back injury,,,,8/31/2019,,gehrig dieter
2019,Cowboys,,chris westry,placed on ir with ankle injury,,,,8/31/2019,,chris westry
2019,Cowboys,,cody wichmann,placed on ir with calf injury,,,,8/31/2019,,cody wichmann
2019,Cowboys,,daniel ross,placed on ir with shoulder injury,,,,8/31/2019,,daniel ross
2019,Cowboys,,jalen jelks,placed on ir with undisclosed injury,,,,8/31/2019,,jalen jelks
2019,Cowboys,,jonvea johnson,placed on ir with shoulder injury,,,,8/31/2019,,jonvea johnson
2019,Eagles,,aziz shittu,placed on ir with head injury,,,,8/31/2019,,aziz shittu
2019,Falcons,,matt simms,placed on ir with undisclosed injury,,,,8/31/2019,,matt simms
2019,Giants,,brittan golden,placed on ir with calf injury,,,,8/31/2019,,brittan golden
2019,Giants,,george asafo-adjei,placed on ir with concussion,,,,8/31/2019,,george asafo-adjei
2019,Giants,,jonathan anderson,placed on ir with knee injury,,,,8/31/2019,,jonathan anderson
2019,Giants,,rod smith b 1992-01-10,placed on ir with adductor injury,,,,8/31/2019,,rod smith b --
2019,Giants,,scott simonson,placed on ir with ankle injury,,,,8/31/2019,,scott simonson
2019,Jaguars,,ben ijalana,placed on ir with elbow injury,,,,8/31/2019,,ben ijalana
2019,Jaguars,,terrelle pryor,placed on ir with hamstring injury,,,,8/31/2019,,terrelle pryor
2019,Packers,,equanimeous st brown,placed on ir with ankle injury,,,,8/31/2019,,equanimeous st brown
2019,Patriots,,david andrews,placed on ir with blood clot in lungs,,,,8/31/2019,,david andrews
2019,Patriots,,derek rivers,placed on ir with undisclosed injury,,,,8/31/2019,,derek rivers
2019,Patriots,,hjalte froholdt,placed on ir with shoulder injury,,,,8/31/2019,,hjalte froholdt
2019,Patriots,,malik gant,placed on ir with leg injury,,,,8/31/2019,,malik gant
2019,Raiders,,justin ellis,placed on ir with knee injury,,,,8/31/2019,,justin ellis
2019,Rams,,micah kiser,placed on ir with pectoral muscle injury,,,,8/31/2019,,micah kiser
2019,Ravens,,alvin jones b 1994-12-02,placed on ir with undisclosed injury,,,,8/31/2019,,alvin jones b --
2019,Ravens,,fish smithson,placed on ir with undisclosed injury,,,,8/31/2019,,fish smithson
2019,Ravens,,kenneth dixon,placed on ir with undisclosed injury,,,,8/31/2019,,kenneth dixon
2019,Ravens,,randin crecelius,placed on ir with concussion,,,,8/31/2019,,randin crecelius
2019,Ravens,,tavon young,placed on ir with neck injury,,,,8/31/2019,,tavon young
2019,Saints,,cameron tom,placed on ir with undisclosed injury,,,,8/31/2019,,cameron tom
2019,Saints,,marcus sherels,placed on ir with undisclosed injury,,,,8/31/2019,,marcus sherels
2019,Saints,,marshall newhouse,placed on ir with undisclosed injury,,,,8/31/2019,,marshall newhouse
2019,Seahawks,,jordan simmons,placed on ir with knee injury,,,,8/31/2019,,jordan simmons
2019,Texans,,joe webb,placed on ir with foot injury,,,,8/31/2019,,joe webb
2019,49ers,,adrian colbert,placed on ir with hamstring injury,,,,9/1/2019,,adrian colbert
2019,49ers,,andrew lauderdale,placed on ir with undisclosed injury,,,,9/1/2019,,andrew lauderdale
2019,49ers,,kentavius street,placed on ir with knee injury,,,,9/1/2019,,kentavius street
2019,Bills,,jason croom,placed on ir with hamstring injury,,,,9/1/2019,,jason croom
2019,Broncos,,dadi lhomme nicolas  dadi nicolas,placed on ir with undisclosed injury,,,,9/1/2019,,dadi lhomme nicolas dadi nicolas
2019,Broncos,,dymonte thomas,placed on ir with knee injury,,,,9/1/2019,,dymonte thomas
2019,Broncos,,joe dineen jr,placed on ir with fractured right hand,,,,9/1/2019,,joe dineen jr
2019,Broncos,,ryan crozier,placed on ir with undisclosed injury,,,,9/1/2019,,ryan crozier
2019,Browns,,joe kerridge,placed on ir with concussion,,,,9/1/2019,,joe kerridge
2019,Browns,,kyle kalis,placed on ir with concussion,,,,9/1/2019,,kyle kalis
2019,Buccaneers,,cortrelle simpson,placed on ir with undisclosed injury,,,,9/1/2019,,cortrelle simpson
2019,Buccaneers,,jeremiah ledbetter,placed on ir with ankle injury,,,,9/1/2019,,jeremiah ledbetter
2019,Buccaneers,,kj brent,placed on ir with undisclosed injury,,,,9/1/2019,,kj brent
2019,Cardinals,,brandon williams b 1992-09-09,placed on ir with shoulder injury,,,,9/1/2019,,brandon williams b --
2019,Cardinals,,pita taumoepenu,placed on ir with hamstring injury,,,,9/1/2019,,pita taumoepenu
2019,Cardinals,,rees odhiambo,placed on ir with chest injury,,,,9/1/2019,,rees odhiambo
2019,Cardinals,,robert alford,placed on ir with leg injury,,,,9/1/2019,,robert alford
2019,Cardinals,,william sweet,placed on ir with foot injury,,,,9/1/2019,,william sweet
2019,Chargers,,ben johnson b 1994-07-28,placed on ir with undisclosed injury,,,,9/1/2019,,ben johnson b --
2019,Chargers,,brant weiss,placed on ir with undisclosed injury,,,,9/1/2019,,brant weiss
2019,Chargers,,derwin james jr,placed on ir with foot injury,,,,9/1/2019,,derwin james jr
2019,Chargers,,vince mayle,placed on ir with undisclosed injury,,,,9/1/2019,,vince mayle
2019,Chiefs,,chad henne,placed on ir with ankle injury,,,,9/1/2019,,chad henne
2019,Chiefs,,felton davis,placed on ir with shoulder injury,,,,9/1/2019,,felton davis
2019,Chiefs,,michael hunter,placed on ir with groin injury,,,,9/1/2019,,michael hunter
2019,Colts,,ahmad thomas,placed on ir with undisclosed injury,,,,9/1/2019,,ahmad thomas
2019,Colts,,isaiah johnson nathan,placed on ir with undisclosed injury,,,,9/1/2019,,isaiah johnson nathan
2019,Colts,,kai nacua,placed on ir with undisclosed injury,,,,9/1/2019,,kai nacua
2019,Colts,,marcus johnson b 1994-08-05,placed on ir with concussion,,,,9/1/2019,,marcus johnson b --
2019,Colts,,penny hart,placed on ir with undisclosed injury,,,,9/1/2019,,penny hart
2019,Colts,,shakial taylor,placed on ir with concussion,,,,9/1/2019,,shakial taylor
2019,Cowboys,,codey mcelroy,placed on ir with neck injury,,,,9/1/2019,,codey mcelroy
2019,Cowboys,,jameill showers,placed on ir with hamstring injury,,,,9/1/2019,,jameill showers
2019,Cowboys,,tyvis powell,placed on ir with hamstring injury,,,,9/1/2019,,tyvis powell
2019,Dolphins,,quentin poling,placed on ir with undisclosed injury,,,,9/1/2019,,quentin poling
2019,Falcons,,alex gray b 1991-05-01,placed on ir with undisclosed injury,,,,9/1/2019,,alex gray b --
2019,Falcons,,richie brown,placed on ir with undisclosed injury,,,,9/1/2019,,richie brown
2019,Falcons,,taveze calhoun,placed on ir with head injury,,,,9/1/2019,,taveze calhoun
2019,Giants,,alex wesley,placed on ir with foot injury,,,,9/1/2019,,alex wesley
2019,Giants,,chad wheeler,placed on ir with back injury,,,,9/1/2019,,chad wheeler
2019,Giants,,henre toliver,placed on ir with ankle injury,,,,9/1/2019,,henre toliver
2019,Giants,,keion adams,placed on ir with knee injury,,,,9/1/2019,,keion adams
2019,Giants,,kenny ladler,placed on ir with hamstring injury,,,,9/1/2019,,kenny ladler
2019,Giants,,ronald zamort,placed on ir with ankle injury,,,,9/1/2019,,ronald zamort
2019,Giants,,sam beal,placed on ir with hamstring injury,,,,9/1/2019,,sam beal
2019,Giants,,victor salako,placed on ir with shoulder injury,,,,9/1/2019,,victor salako
2019,Jaguars,,alfred blue,placed on ir with ankle injury,,,,9/1/2019,,alfred blue
2019,Jaguars,,devante mays,placed on ir with ankle injury,,,,9/1/2019,,devante mays
2019,Jaguars,,donnell greene,placed on ir with undisclosed injury,,,,9/1/2019,,donnell greene
